State,FIPS,Average Annual Count,Recent Trend,incidence_rate_trend,county,State_Code,Cancer_Rate
Missouri,29083,170,stable,1.1,Henry,MO,0.5408
Oklahoma,40075,67,stable,-4.0,Kiowa,OK,0.5400999999999999
Kentucky,21079,119,stable,-0.5,Garrard,KY,0.54
Kentucky,21161,118,stable,0.0,Mason,KY,0.5397000000000001
New Jersey,34015,1813,falling,-8.4,Gloucester,NJ,0.5395000000000001
Georgia,13287,56,stable,0.3,Turner,GA,0.5388000000000001
Kentucky,21005,136,stable,-0.1,Anderson,KY,0.5387
Kentucky,21093,606,stable,-0.1,Hardin,KY,0.5385
Virginia,51183,81,stable,3.2,Sussex,VA,0.5383
Mississippi,28011,200,stable,-3.9,Bolivar,MS,0.5381
Iowa,19073,73,rising,1.1,Greene,IA,0.5378
Illinois,17137,247,stable,2.5,Morgan,IL,0.5376000000000001
Kentucky,21069,98,stable,0.0,Fleming,KY,0.5368999999999999
Louisiana,22037,135,stable,0.2,East Feliciana,LA,0.5368
Florida,12053,1617,stable,-1.9,Hernando,FL,0.5367000000000001
Kentucky,21081,137,stable,0.3,Grant,KY,0.5365
South Dakota,46099,967,stable,-3.6,Minnehaha,SD,0.5364
Georgia,13293,186,stable,0.6,Upson,GA,0.5362
South Dakota,46127,96,stable,-5.6,Union,SD,0.5357999999999999
Kentucky,21147,111,stable,-0.2,McCreary,KY,0.5357000000000001
Montana,30061,37,stable,-0.8,Mineral,MT,0.5352999999999999
Louisiana,22035,43,stable,0.3,East Carroll,LA,0.5351
New York,36013,946,stable,0.2,Chautauqua,NY,0.5351
North Dakota,38073,40,falling,-12.1,Ransom,ND,0.5349999999999999
Delaware,10001,1070,stable,-1.0,Kent,DE,0.5348
Louisiana,22067,179,stable,0.3,Morehouse,LA,0.5344
Montana,30103,7,stable,-4.8,Treasure,MT,0.5339
Illinois,17065,64,stable,-2.6,Hamilton,IL,0.5337000000000001
Kentucky,21115,154,stable,0.4,Johnson,KY,0.5336000000000001
Kentucky,21085,173,stable,0.6,Grayson,KY,0.5332000000000001
Kentucky,21099,123,stable,0.9,Hart,KY,0.5331
Kentucky,21183,160,stable,0.9,Ohio,KY,0.5331
Illinois,17003,54,stable,3.9,Alexander,IL,0.5331
South Dakota,46107,22,stable,-8.0,Potter,SD,0.5329999999999999
Florida,12089,584,stable,2.2,Nassau,FL,0.5329
Michigan,26143,238,stable,2.1,Roscommon,MI,0.5327000000000001
Kentucky,21111,4723,falling,-0.4,Jefferson,KY,0.5327000000000001
Illinois,17121,277,stable,0.2,Marion,IL,0.5326
New York,36045,604,stable,0.0,Jefferson,NY,0.5325
Kentucky,21017,138,stable,-0.8,Bourbon,KY,0.5324000000000001
Iowa,19133,76,stable,0.4,Monona,IA,0.5324000000000001
Wisconsin,55085,314,stable,-2.7,Oneida,WI,0.5324000000000001
New York,36075,752,stable,-0.4,Oswego,NY,0.5321999999999999
Louisiana,22047,205,falling,-2.9,Iberville,LA,0.5319
Illinois,17061,96,stable,3.6,Greene,IL,0.5317999999999999
Illinois,17025,99,stable,2.6,Clay,IL,0.5316
Georgia,13187,191,stable,0.0,Lumpkin,GA,0.5311
Kentucky,21185,348,falling,-0.8,Oldham,KY,0.5309
New York,36121,270,stable,0.1,Wyoming,NY,0.5306
Tennessee,47025,225,stable,0.8,Claiborne,TN,0.5306
Oregon,41055,15,stable,-6.0,Sherman,OR,0.5304
New York,36103,9577,falling,-0.9,Suffolk,NY,0.5303
Illinois,17017,87,stable,3.3,Cass,IL,0.5303
Illinois,17153,44,stable,-2.7,Pulaski,IL,0.5301
Kentucky,21087,82,rising,1.7,Green,KY,0.5299
Pennsylvania,42047,241,stable,2.4,Elk,PA,0.5297000000000001
New Jersey,34005,2931,falling,-7.8,Burlington,NJ,0.5296000000000001
New York,36083,1026,stable,0.7,Rensselaer,NY,0.5294
Kentucky,21057,53,stable,3.5,Cumberland,KY,0.5293
New York,36017,359,stable,0.4,Chenango,NY,0.5287999999999999
North Dakota,38081,28,stable,2.0,Sargent,ND,0.5287
Illinois,17167,1288,stable,1.9,Sangamon,IL,0.5287
Louisiana,22097,509,stable,0.3,St Landry,LA,0.5284000000000001
New York,36091,1478,stable,-0.2,Saratoga,NY,0.5283
Louisiana,22031,179,stable,-0.1,De Soto,LA,0.5283
Pennsylvania,42095,2063,stable,-0.9,Northampton,PA,0.528
Virginia,51620,56,stable,6.2,Franklin City,VA,0.5277999999999999
Missouri,29133,92,stable,5.9,Mississippi,MO,0.5277999999999999
Louisiana,22121,144,stable,-0.4,West Baton Rouge,LA,0.5274
Tennessee,47005,130,stable,-1.8,Benton,TN,0.5271
Montana,30029,651,stable,-1.8,Flathead,MT,0.527
Nevada,32009,7,stable,7.8,Esmeralda,NV,0.5268999999999999
Missouri,29127,187,stable,2.8,Marion,MO,0.5267000000000001
New York,36073,276,stable,0.1,Orleans,NY,0.5266
Georgia,13029,163,stable,0.7,Bryan,GA,0.5265
Arkansas,5095,60,stable,6.5,Monroe,AR,0.5264000000000001
Kentucky,21019,341,falling,-0.7,Boyd,KY,0.5264000000000001
Mississippi,28043,142,stable,-4.7,Grenada,MS,0.526
Kentucky,21153,81,stable,0.0,Magoffin,KY,0.5257999999999999
Kentucky,21141,182,stable,-0.1,Logan,KY,0.5257000000000001
