County,Number_Of_NPL_Sites,NPL_Score_Sum,Number_Of_Harmful_Power_Plants,Incident_Rate_Trend,Recent_5years_Trend,Time_Adjusted_Cancer_Rate
Love,0,0.0,0,3.2,stable,0.4966
Shoshone,1,54.76,0,-0.5,stable,0.4965
Haywood,2,102.38,1,1.0,stable,0.4965
Monroe,0,0.0,4,-0.2,stable,0.49639999999999995
Davison,0,0.0,0,-1.5,stable,0.49639999999999995
Lee,0,0.0,1,-1.8,stable,0.4961999999999999
Rolette,0,0.0,0,2.1,stable,0.4961999999999999
Maury,0,0.0,0,4.2,stable,0.4961
De Kalb,0,0.0,0,-1.0,stable,0.4961
Marshall,2,66.3,2,-0.1,stable,0.4961
Richland,0,0.0,0,-1.0,stable,0.4961
Highland,0,0.0,1,11.8,stable,0.496
Carroll,0,0.0,0,0.4,stable,0.496
Benton,0,0.0,0,1.1,stable,0.49590000000000006
Randolph,0,0.0,0,0.6,stable,0.49590000000000006
Granville,2,87.03,0,-4.2,stable,0.49579999999999996
Garland,0,0.0,0,2.5,stable,0.49579999999999996
Jefferson,0,0.0,3,-0.3,stable,0.4957
Gem,0,0.0,0,-3.3,falling,0.4957
Northumberland,0,0.0,1,-0.4,stable,0.49560000000000004
Hardeman,1,47.71,0,2.0,stable,0.49560000000000004
Autauga,0,0.0,2,-0.2,stable,0.49560000000000004
Lamar,0,0.0,1,-0.1,stable,0.49549999999999994
Broome,5,178.57,2,-0.1,stable,0.4954
Beaver,0,0.0,2,-1.8,stable,0.4952000000000001
Ringgold,0,0.0,0,0.7,stable,0.49510000000000004
Piscataquis,0,0.0,0,-1.7,stable,0.49500000000000005
Lafayette,0,0.0,2,-0.5,stable,0.49500000000000005
Loudon,0,0.0,0,-0.7,stable,0.49489999999999995
Piatt,0,0.0,1,-0.7,stable,0.49489999999999995
Clinton,0,0.0,0,2.2,stable,0.49489999999999995
Surry,0,0.0,0,2.8,stable,0.4947999999999999
Gilmer,0,0.0,0,6.6,stable,0.4947999999999999
Franklin,0,0.0,0,0.4,stable,0.49470000000000003
Forsyth,0,0.0,0,0.0,stable,0.4946
Levy,0,0.0,1,-2.3,stable,0.4946
Monroe,0,0.0,2,0.0,stable,0.49450000000000005
Berkeley,0,0.0,0,-1.6,stable,0.49450000000000005
Sharkey,0,0.0,0,-5.9,stable,0.49450000000000005
Bucks,8,339.44,3,-0.4,stable,0.49439999999999995
Peoria,0,0.0,1,-0.3,stable,0.4943
Adams,0,0.0,0,-0.2,stable,0.4943
Butler,0,0.0,0,1.0,stable,0.4943
Strafford,4,193.63,2,0.9,stable,0.4943
Putnam,0,0.0,2,1.3,stable,0.4943
Greer,0,0.0,1,5.2,stable,0.49420000000000003
Kankakee,1,42.04,3,5.1,stable,0.49420000000000003
Arkansas,0,0.0,1,2.6,stable,0.4941
Copiah,0,0.0,0,-7.6,stable,0.4941
Colonial Heights Cit,0,0.0,0,3.4,stable,0.494
Jones,0,0.0,0,0.4,stable,0.494
Gregory,0,0.0,0,-14.3,stable,0.494
Ontario,0,0.0,1,-0.2,stable,0.4939
Chattooga,0,0.0,0,1.1,rising,0.4939
Hamilton,0,0.0,1,-0.1,stable,0.4937
Carlisle,0,0.0,0,0.7,stable,0.4937
Jay,0,0.0,1,-0.9,stable,0.4935
Allegheny,3,143.86,4,-0.9,stable,0.4935
Butts,0,0.0,0,0.4,stable,0.4934
Cedar,0,0.0,3,-0.8,stable,0.4934
Montgomery,0,0.0,0,4.5,stable,0.49329999999999996
Sussex,1,38.21,2,-2.0,stable,0.49329999999999996
Prince Edward,0,0.0,0,-0.3,stable,0.49329999999999996
Putnam,0,0.0,0,2.7,stable,0.49329999999999996
Morgan,0,0.0,0,5.1,rising,0.49319999999999997
Stoddard,0,0.0,1,-4.0,stable,0.49310000000000004
Muhlenberg,0,0.0,1,-0.5,stable,0.49310000000000004
Venango,0,0.0,2,-1.6,stable,0.49289999999999995
Logan,0,0.0,1,1.1,stable,0.49289999999999995
Livingston,1,33.62,1,-0.7,stable,0.49289999999999995
St Bernard,0,0.0,3,-0.3,stable,0.49289999999999995
Houston,0,0.0,1,1.3,stable,0.4928
Fannin,0,0.0,0,1.1,stable,0.4928
Clay,0,0.0,1,8.1,stable,0.49269999999999997
Pearl River,1,51.03,0,-1.8,stable,0.49269999999999997
Gaston,4,175.5,8,-0.9,stable,0.4926
Armstrong,0,0.0,0,1.0,stable,0.4926
St James,0,0.0,3,0.6,stable,0.4926
Mellette,0,0.0,0,0.8,stable,0.4925
Atlantic,6,216.58,2,-10.2,falling,0.49229999999999996
Evangeline,0,0.0,0,-0.2,stable,0.49229999999999996
Allen,0,0.0,0,0.6,stable,0.4921
Edmunds,0,0.0,0,-0.1,stable,0.492
Stanley,0,0.0,1,-0.8,stable,0.492
Cooper,0,0.0,0,1.7,stable,0.4919
Will,4,150.45,13,0.4,stable,0.4919
Dixie,0,0.0,0,-1.6,stable,0.4919
Fentress,0,0.0,0,-6.9,stable,0.49180000000000007
Dorchester,0,0.0,1,-1.8,stable,0.4917
Adams,4,164.53,5,0.0,stable,0.4917
McCracken,1,56.95,1,-0.6,falling,0.4915
Dukes,0,0.0,2,-1.2,falling,0.4914
Effingham,0,0.0,2,-2.4,stable,0.49129999999999996
Paulding,0,0.0,0,-0.4,stable,0.49129999999999996
Craig,0,0.0,0,3.4,stable,0.49119999999999997
Clark,0,0.0,0,1.7,stable,0.4911
Washington,1,50.0,1,-0.9,stable,0.4911
Humphreys,0,0.0,0,2.0,stable,0.4911
New Kent,0,0.0,0,-3.4,stable,0.4911
Polk,0,0.0,0,-2.6,stable,0.49100000000000005
Lawrence,3,127.94,0,5.6,stable,0.49100000000000005
Union,0,0.0,0,-1.9,stable,0.4909
Henderson,0,0.0,1,-0.5,stable,0.4909
Oxford,0,0.0,3,-0.4,stable,0.4909
Scioto,0,0.0,0,-1.7,stable,0.49069999999999997
Alamance,0,0.0,0,2.0,stable,0.49069999999999997
Crittenden,0,0.0,0,-0.2,stable,0.49060000000000004
Houston,0,0.0,0,4.6,rising,0.49049999999999994
Kingfisher,0,0.0,1,6.5,stable,0.49049999999999994
Fayette,0,0.0,1,-0.8,falling,0.49040000000000006
Hawkins,0,0.0,1,0.1,stable,0.49040000000000006
Ouachita,0,0.0,5,-0.2,stable,0.49040000000000006
Marshall,0,0.0,0,2.3,stable,0.4902
Carroll,0,0.0,1,-0.2,stable,0.4902
Webster,0,0.0,0,-4.2,stable,0.4901
Sevier,0,0.0,0,1.3,stable,0.49
Carbon,2,89.50999999999999,1,-2.7,falling,0.49
Lanier,0,0.0,0,-0.9,stable,0.49
Monroe,0,0.0,0,6.8,stable,0.49
Polk,1,50.0,19,-1.6,stable,0.48990000000000006
Jefferson Davis,0,0.0,0,-0.4,stable,0.48990000000000006
Covington,0,0.0,0,1.3,stable,0.48979999999999996
Lamar,0,0.0,2,-5.8,falling,0.48979999999999996
Hall,0,0.0,0,-0.2,stable,0.4897
Mason,0,0.0,0,-0.6,falling,0.4897
Kenosha,0,0.0,2,1.6,stable,0.4897
Craven,1,70.71,3,0.3,stable,0.48960000000000004
Randolph,0,0.0,1,1.7,stable,0.48960000000000004
Otsego,0,0.0,1,-0.3,stable,0.48960000000000004
Vigo,1,50.0,2,-0.9,stable,0.48960000000000004
Essex,0,0.0,0,-0.9,stable,0.4895
Fall River,0,0.0,0,-4.2,stable,0.4895
Brooke,0,0.0,0,3.9,stable,0.4895
Lawrence,0,0.0,2,1.8,stable,0.4894
Cross,0,0.0,0,2.5,stable,0.4894
Merrick,0,0.0,0,1.9,stable,0.4894
Grundy,0,0.0,0,-0.6,stable,0.4894
Jefferson,0,0.0,1,-0.5,falling,0.4892000000000001
New Castle,11,429.63000000000005,12,-0.3,stable,0.4891
Clare,1,38.43,1,-0.5,stable,0.48900000000000005
Wilkinson,0,0.0,0,0.2,stable,0.48900000000000005
Kanawha,0,0.0,1,-1.7,stable,0.4889
Troup,0,0.0,0,-0.1,stable,0.4889
Union,2,100.03,1,-0.5,stable,0.4889
Caldwell,0,0.0,0,-0.6,stable,0.4889
Morris,9,384.13000000000005,0,-6.6,falling,0.4888
Yellowstone,1,45.69,2,5.2,stable,0.48869999999999997
McDowell,0,0.0,0,1.9,stable,0.48860000000000003
Brooks,0,0.0,0,0.6,stable,0.48860000000000003
Beadle,0,0.0,2,1.7,stable,0.48850000000000005
Meriwether,0,0.0,0,1.3,rising,0.48850000000000005
Montmorency,0,0.0,1,1.8,stable,0.48850000000000005
Franklin,3,135.15,1,-0.4,stable,0.48850000000000005
Harrison,1,48.03,1,-0.5,stable,0.4883
Hancock,0,0.0,1,-2.2,stable,0.4882
Columbia,0,0.0,0,-0.2,stable,0.4882
Leake,0,0.0,0,-7.3,falling,0.4882
York,3,108.87,6,-0.1,stable,0.4881
Louisa,0,0.0,1,1.0,stable,0.4881
Wayne,0,0.0,1,-0.8,stable,0.4881
Lafourche,0,0.0,0,1.1,rising,0.4881
Wilcox,0,0.0,1,1.6,stable,0.488
Jackson,0,0.0,2,4.3,stable,0.48789999999999994
Forsyth,0,0.0,2,-0.3,stable,0.48789999999999994
McDonough,0,0.0,1,4.7,rising,0.4878
Muscogee,0,0.0,1,1.4,stable,0.4877
Monroe,0,0.0,0,0.4,stable,0.48760000000000003
Washington,0,0.0,0,0.0,stable,0.48760000000000003
Warren,0,0.0,1,-2.4,stable,0.48760000000000003
Habersham,0,0.0,0,0.3,stable,0.48760000000000003
Kiowa,0,0.0,0,-0.3,stable,0.4875
Columbia,0,0.0,1,-1.6,stable,0.4875
Washington,3,122.63,2,-0.8,stable,0.4875
Madison,3,108.41,5,-0.8,stable,0.48729999999999996
Schenectady,0,0.0,0,-0.3,stable,0.48719999999999997
Franklin,0,0.0,0,-1.0,stable,0.48710000000000003
Lamar,0,0.0,0,5.4,stable,0.48710000000000003
Somerset,0,0.0,4,2.1,stable,0.48710000000000003
Black Hawk,0,0.0,6,-0.3,stable,0.48710000000000003
Kootenai,0,0.0,3,-0.5,falling,0.48710000000000003
Jasper,0,0.0,1,-7.8,stable,0.48710000000000003
Ray,0,0.0,0,-3.6,stable,0.48700000000000004
Washington,0,0.0,1,-0.5,stable,0.48700000000000004
Halifax,0,0.0,2,1.5,stable,0.4869
Assumption,0,0.0,0,-0.7,stable,0.4869
Chippewa,1,42.39,1,2.1,stable,0.4868
Hall,0,0.0,0,-6.3,stable,0.4868
Rock,2,115.83,5,1.6,stable,0.4868
Windham,3,116.72,3,-0.2,stable,0.4868
Baltimore City,0,0.0,0,-1.0,falling,0.48669999999999997
Vance,0,0.0,0,-0.5,stable,0.48669999999999997
Cass,1,50.0,3,0.3,stable,0.48669999999999997
Gregg,1,49.1,1,-0.4,stable,0.48660000000000003
Ida,0,0.0,0,0.6,stable,0.48660000000000003
Bacon,0,0.0,0,0.2,stable,0.48649999999999993
Ouachita,1,50.0,1,4.0,stable,0.48639999999999994
White,0,0.0,0,-2.2,stable,0.48639999999999994
Lyon,0,0.0,0,0.5,stable,0.48639999999999994
Ottawa,0,0.0,3,0.4,stable,0.4863
Johnson,0,0.0,1,8.4,rising,0.4862
Columbia,0,0.0,0,-0.4,stable,0.4862
Sumter,0,0.0,2,-1.9,stable,0.4861
Covington,0,0.0,1,0.4,stable,0.486
Carroll,0,0.0,0,-1.3,stable,0.486
Somerset,0,0.0,1,-3.0,stable,0.486
York,2,79.49,3,0.2,stable,0.48590000000000005
Turner,0,0.0,0,-0.9,stable,0.48590000000000005
Elmore,0,0.0,0,4.3,rising,0.48579999999999995
Mountrail,0,0.0,0,7.4,stable,0.48579999999999995
Henry,0,0.0,1,0.3,stable,0.48560000000000003
Marion,0,0.0,2,0.4,stable,0.48560000000000003
Thurston,1,50.0,1,-0.2,stable,0.48560000000000003
Ben Hill,0,0.0,0,-1.7,falling,0.4855
Middlesex,1,33.94,4,-0.2,stable,0.4855
Payette,0,0.0,1,0.2,stable,0.4855
Westmoreland,0,0.0,5,0.3,stable,0.4854
Iberia,0,0.0,1,-1.4,falling,0.4854
Marshall,0,0.0,4,-0.2,stable,0.48530000000000006
Greene,0,0.0,0,-3.2,stable,0.48530000000000006
Brevard,1,35.57,5,-1.1,stable,0.48530000000000006
Scott,0,0.0,0,1.7,stable,0.4852
Mason,0,0.0,1,1.8,stable,0.4852
Guernsey,1,39.42,0,1.6,stable,0.4850999999999999
Worcester,0,0.0,1,1.0,stable,0.4850999999999999
Buchanan,0,0.0,1,-1.4,stable,0.4849
Humphreys,0,0.0,1,-3.1,stable,0.4848
Pulaski,1,65.46,3,-0.9,stable,0.48460000000000003
Adams,3,142.24,3,-0.1,stable,0.48460000000000003
Stone,0,0.0,0,-3.8,stable,0.48460000000000003
Marquette,0,0.0,0,2.7,stable,0.48439999999999994
Faulkner,0,0.0,0,-1.1,stable,0.48439999999999994
Rabun,0,0.0,1,0.6,stable,0.4843
Clark,0,0.0,1,-1.7,stable,0.4843
Effingham,0,0.0,4,0.2,stable,0.4843
Litchfield,1,38.05,4,-0.8,falling,0.4842
Ballard,0,0.0,0,-0.7,stable,0.4842
Valley,0,0.0,0,0.4,stable,0.4841
Itawamba,0,0.0,0,1.8,stable,0.484
Bradford,1,34.79,5,-0.8,stable,0.484
Adair,0,0.0,0,-0.4,stable,0.484
St Helena,0,0.0,0,0.7,stable,0.48390000000000005
Knox,0,0.0,0,-0.2,stable,0.48390000000000005
Mitchell,0,0.0,0,-4.5,stable,0.4838
Shelby,0,0.0,1,0.9,rising,0.4838
Graves,0,0.0,0,-2.0,stable,0.48360000000000003
Jackson,0,0.0,0,-0.4,stable,0.48360000000000003
Henderson,0,0.0,1,0.1,stable,0.4835
West Carroll,0,0.0,0,-0.5,stable,0.4835
Bay,1,50.0,3,-0.9,stable,0.4835
Henry,0,0.0,1,-0.7,falling,0.4835
Martin,0,0.0,0,-1.6,stable,0.48340000000000005
Catawba,0,0.0,4,0.0,stable,0.48340000000000005
Worth,0,0.0,0,0.5,stable,0.48330000000000006
Baltimore,4,164.81,11,-1.2,stable,0.48330000000000006
Lunenburg,0,0.0,0,0.3,stable,0.48330000000000006
Fulton,0,0.0,0,-4.8,stable,0.4832
Lee,0,0.0,1,0.1,stable,0.4832
Montgomery,17,737.1099999999999,5,-0.9,stable,0.48310000000000003
Hopkins,0,0.0,0,-0.7,stable,0.48310000000000003
Blount,0,0.0,0,-0.4,stable,0.483
Warren,0,0.0,0,3.0,stable,0.483
Snohomish,0,0.0,1,-0.7,falling,0.483
Oakland,4,184.08,6,-0.9,falling,0.483
Fayette,0,0.0,3,0.1,stable,0.4828
Webster,0,0.0,3,-0.2,stable,0.4828
Hancock,1,50.0,1,0.8,stable,0.4828
Walton,0,0.0,3,-1.2,stable,0.4828
Jackson,0,0.0,0,0.3,stable,0.4827000000000001
Calcasieu,0,0.0,9,-0.7,falling,0.4827000000000001
Caroline,0,0.0,1,-4.9,falling,0.4826
Fayette,0,0.0,0,-0.1,stable,0.4826
Putnam,1,36.3,0,-2.4,stable,0.4826
Hardin,0,0.0,0,9.6,rising,0.48250000000000004
Chester,9,351.56,2,-0.2,stable,0.4823
Warren,0,0.0,0,-0.7,falling,0.4823
Dougherty,3,115.66,4,-0.6,stable,0.48219999999999996
Jefferson,2,107.49,2,-1.7,stable,0.48219999999999996
La Porte,2,110.96,0,-3.5,falling,0.4821000000000001
Scott,0,0.0,0,-1.7,falling,0.4821000000000001
Waldo,0,0.0,1,-1.0,stable,0.48200000000000004
Hughes,0,0.0,1,-1.6,stable,0.48200000000000004
Sumter,0,0.0,0,0.1,stable,0.48190000000000005
Clinton,1,52.11,4,-0.2,stable,0.4818
Woodbury,0,0.0,2,-0.2,stable,0.4818
Jasper,2,98.0,1,1.6,stable,0.4818
Chattahoochee,0,0.0,0,1.0,stable,0.4817
Fountain,0,0.0,0,4.5,stable,0.4816
Newport,1,32.25,1,-2.6,stable,0.4816
Scott,0,0.0,0,-0.8,stable,0.4815
Harding,0,0.0,0,-25.6,stable,0.4815
Grand Isle,0,0.0,0,-4.5,stable,0.4814
Bullock,0,0.0,0,4.3,stable,0.48129999999999995
Nome,0,0.0,6,-4.5,stable,0.48129999999999995
Nantucket,0,0.0,1,-2.0,falling,0.48129999999999995
Cleburne,0,0.0,0,4.7,stable,0.48129999999999995
Vermillion,0,0.0,2,-0.3,stable,0.48129999999999995
Juneau,0,0.0,2,1.0,stable,0.48119999999999996
Rockland,1,44.73,4,-1.8,falling,0.48119999999999996
Aroostook,1,34.49,4,0.2,stable,0.48119999999999996
Lewis,0,0.0,0,-2.1,stable,0.4811
Cherokee,0,0.0,0,-1.8,stable,0.481
Pawnee,0,0.0,0,-12.0,stable,0.481
Clay,0,0.0,0,0.3,stable,0.481
Oconee,0,0.0,0,0.2,stable,0.481
Guilford,0,0.0,5,1.4,stable,0.481
Jefferson,1,50.0,4,-0.1,stable,0.481
Cass,0,0.0,1,0.2,stable,0.4809000000000001
Lawrence,0,0.0,1,2.2,stable,0.4809000000000001
Moultrie,0,0.0,1,0.5,stable,0.4809000000000001
Saline,0,0.0,0,-2.7,stable,0.4809000000000001
Caldwell,0,0.0,1,-2.1,stable,0.4809000000000001
Lauderdale,0,0.0,0,-1.2,stable,0.4808
Bartow,0,0.0,1,-0.9,falling,0.4808
Bell,1,48.0,1,0.3,stable,0.4808
Iredell,2,67.96000000000001,3,-0.1,stable,0.4808
Nemaha,0,0.0,1,-5.5,stable,0.48069999999999996
Blair,1,41.08,1,0.9,stable,0.48069999999999996
Murray,0,0.0,0,-5.1,stable,0.48069999999999996
Tioga,0,0.0,1,0.3,stable,0.48069999999999996
Wetzel,0,0.0,1,-2.0,stable,0.48069999999999996
Okeechobee,0,0.0,0,-1.9,stable,0.4806
Oglethorpe,0,0.0,0,0.2,stable,0.4806
Tulsa,1,50.0,5,1.8,stable,0.4804
Jefferson,1,30.22,0,-0.8,stable,0.4803
Gilmer,0,0.0,0,1.1,stable,0.4803
Crawford,0,0.0,0,0.5,stable,0.4803
Flagler,0,0.0,0,-2.0,stable,0.48020000000000007
Russell,0,0.0,0,-4.0,stable,0.48020000000000007
Westmoreland,1,37.15,0,-2.2,stable,0.48020000000000007
Marion,0,0.0,0,-5.2,falling,0.48020000000000007
Lewis,0,0.0,0,-6.1,stable,0.4801000000000001
Clark,0,0.0,2,-4.9,stable,0.4801000000000001
Linn,0,0.0,14,1.7,stable,0.48
Henry,0,0.0,0,-1.4,stable,0.48
Buchanan,0,0.0,1,-0.3,stable,0.47990000000000005
Thomas,0,0.0,0,-1.1,falling,0.47990000000000005
Tehama,0,0.0,1,-0.7,falling,0.47990000000000005
St Johns,0,0.0,1,1.0,stable,0.47979999999999995
Berks,8,318.87,4,-0.1,stable,0.47979999999999995
Hunterdon,3,119.55,2,-0.5,stable,0.47979999999999995
Douglas,0,0.0,3,-0.7,stable,0.47979999999999995
Winn,1,50.7,0,-1.0,stable,0.4797
Cambria,0,0.0,5,0.0,stable,0.4797
Fond du Lac,0,0.0,3,2.1,stable,0.4797
Miller,0,0.0,0,0.3,stable,0.4797
Greensville,0,0.0,0,12.8,rising,0.4797
Panola,0,0.0,1,2.0,stable,0.47959999999999997
Grayson,0,0.0,0,-1.1,stable,0.47950000000000004
Trigg,0,0.0,0,-0.7,stable,0.47950000000000004
Rapides,0,0.0,2,-0.3,stable,0.47939999999999994
St Lawrence,2,70.07,0,-1.0,falling,0.47939999999999994
Lincoln,0,0.0,1,-2.4,stable,0.47939999999999994
Howard,2,81.85,0,4.2,rising,0.47930000000000006
White,0,0.0,0,-0.6,stable,0.47930000000000006
Tippah,0,0.0,0,2.7,stable,0.47930000000000006
Shiawassee,0,0.0,2,1.7,stable,0.4792
Clay,0,0.0,3,0.0,stable,0.4790999999999999
Caddo,0,0.0,3,-0.7,falling,0.4790999999999999
Genesee,1,38.64,4,-1.9,stable,0.479
Madison,1,50.0,1,1.0,stable,0.479
Essex,0,0.0,0,0.0,stable,0.479
Decatur,0,0.0,0,1.9,stable,0.47880000000000006
Etowah,0,0.0,1,0.8,stable,0.47869999999999996
Waukesha,4,170.99,2,0.2,stable,0.47869999999999996
Pike,0,0.0,1,-2.0,stable,0.47869999999999996
Charlotte,0,0.0,1,-0.8,stable,0.47869999999999996
Westchester,1,50.0,4,-0.7,falling,0.4786
Monroe,2,69.93,0,1.4,stable,0.4786
Washington,0,0.0,1,1.7,rising,0.47850000000000004
Mercer,0,0.0,0,-0.7,stable,0.4784
Bibb,0,0.0,0,-0.9,stable,0.4783
Perry,0,0.0,1,2.6,stable,0.47819999999999996
Pickens,1,37.63,1,-1.8,stable,0.47819999999999996
Ross,0,0.0,1,0.9,stable,0.47819999999999996
Screven,0,0.0,0,0.4,stable,0.47819999999999996
Baldwin,0,0.0,0,-0.2,stable,0.47819999999999996
Wheeler,0,0.0,0,-6.5,stable,0.47819999999999996
Pocahontas,0,0.0,2,0.0,stable,0.4781000000000001
Pulaski,0,0.0,0,0.0,stable,0.4781000000000001
Keith,1,50.0,0,1.0,stable,0.478
Linn,0,0.0,1,-8.0,falling,0.47789999999999994
Augusta,0,0.0,0,-1.6,stable,0.47789999999999994
Raleigh,0,0.0,0,1.0,stable,0.4778
Hillsborough,12,576.73,8,-2.5,falling,0.4778
Coffee,0,0.0,0,-1.8,stable,0.4777
Gordon,0,0.0,0,-0.2,stable,0.4777
Lackawanna,0,0.0,2,-1.2,stable,0.47759999999999997
Cook,0,0.0,0,0.4,stable,0.47759999999999997
Pleasants,0,0.0,0,8.7,stable,0.47759999999999997
Steuben,0,0.0,1,-1.0,falling,0.47759999999999997
Mercer,0,0.0,0,-2.6,stable,0.47759999999999997
Roosevelt,0,0.0,0,-9.3,falling,0.47740000000000005
Prentiss,0,0.0,0,1.6,stable,0.47740000000000005
Tallahatchie,0,0.0,0,4.5,stable,0.47729999999999995
Milam,0,0.0,2,-1.4,stable,0.4772
Portsmouth City,4,172.19,1,0.9,stable,0.4772
Barton,0,0.0,0,0.9,stable,0.4771
New Haven,3,96.77000000000001,12,-2.0,falling,0.4771
Delaware,3,112.75999999999999,0,-0.6,stable,0.4771
Barnstable,1,45.92,1,-1.5,falling,0.4771
Lake,0,0.0,3,-1.6,stable,0.4771
Jefferson,1,61.15,0,-0.4,stable,0.477
Hall,3,151.13,2,-1.8,stable,0.4769
Story,0,0.0,5,0.2,stable,0.4769
Clearfield,0,0.0,1,1.9,stable,0.4767
East Baton Rouge,1,41.44,2,-0.4,stable,0.4765999999999999
Carter,0,0.0,0,-1.3,stable,0.4765999999999999
Unicoi,0,0.0,0,-4.6,stable,0.47650000000000003
Southampton,0,0.0,1,7.7,stable,0.47650000000000003
Grundy,0,0.0,2,0.4,stable,0.47650000000000003
Dearborn,0,0.0,2,-1.6,stable,0.47650000000000003
Robertson,0,0.0,0,-1.2,stable,0.47650000000000003
Henry,1,50.1,2,1.7,stable,0.47650000000000003
Clayton,0,0.0,0,0.2,stable,0.47650000000000003
Clark,2,81.46000000000001,0,0.6,stable,0.4764
Worth,0,0.0,0,7.3,stable,0.4764
Escambia,4,195.79,5,-0.3,stable,0.4764
Washington,1,50.0,0,0.1,stable,0.4764
Cocke,0,0.0,0,0.1,stable,0.4764
Oconto,0,0.0,0,-2.2,stable,0.4764
Licking,0,0.0,0,3.1,stable,0.4763
Cuyahoga,0,0.0,6,-0.8,stable,0.4763
Island,1,47.58,0,-1.3,falling,0.47619999999999996
O Brien,0,0.0,0,-0.2,stable,0.47619999999999996
Cameron,0,0.0,1,-1.4,stable,0.47619999999999996
Fremont,0,0.0,0,-0.4,stable,0.47619999999999996
Prince George,0,0.0,0,-3.6,stable,0.4761
Fayette,0,0.0,0,4.9,stable,0.4761
Burke,0,0.0,5,-1.9,stable,0.47600000000000003
Winnebago,5,218.21999999999997,4,-0.5,stable,0.47589999999999993
Boone,0,0.0,1,-0.5,falling,0.47589999999999993
Gasconade,0,0.0,0,-1.4,stable,0.47589999999999993
St Louis City,0,0.0,0,-2.8,stable,0.4757
Plymouth,0,0.0,2,-2.5,falling,0.47559999999999997
Knox,0,0.0,0,3.1,stable,0.47559999999999997
Delaware,0,0.0,0,0.4,stable,0.47559999999999997
Tallapoosa,0,0.0,1,-0.1,stable,0.47559999999999997
Rutland,0,0.0,2,-1.2,stable,0.4755
Brown,0,0.0,2,-2.1,stable,0.4755
St Clair,1,30.0,3,0.3,stable,0.4755
Grant,0,0.0,1,1.5,stable,0.4755
Mitchell,1,50.0,0,-1.1,falling,0.4755
Allen,0,0.0,0,1.3,stable,0.4755
Wilbarger,0,0.0,1,0.3,stable,0.47540000000000004
Delta,0,0.0,0,3.7,stable,0.47540000000000004
Crawford,0,0.0,0,0.8,stable,0.47540000000000004
Dutchess,5,216.82,1,-0.6,falling,0.47530000000000006
Erie,2,88.2,2,0.2,stable,0.4752
Laurens,0,0.0,1,1.1,stable,0.4752
Shelby,0,0.0,0,-2.5,stable,0.4751
Jasper,1,46.2,2,-1.2,stable,0.4751
Cabarrus,1,37.93,2,-0.2,stable,0.475
Douglas,0,0.0,0,-0.5,stable,0.47490000000000004
Kalkaska,0,0.0,1,-1.4,stable,0.47490000000000004
Hancock,0,0.0,0,-1.1,stable,0.47480000000000006
Kent,0,0.0,0,0.8,stable,0.47480000000000006
Wood,1,50.0,0,1.3,stable,0.4747
Sandusky,0,0.0,1,3.7,stable,0.4747
Dickey,0,0.0,0,0.0,stable,0.4746
Medina,0,0.0,1,0.5,stable,0.4746
Washington,0,0.0,0,0.5,stable,0.47450000000000003
Pasquotank,0,0.0,0,5.2,rising,0.47450000000000003
Lebanon,1,46.25,2,0.6,stable,0.47450000000000003
Stanly,0,0.0,2,2.7,stable,0.4744
Cass,0,0.0,1,-2.9,stable,0.4743
Spartanburg,2,81.45,4,0.1,stable,0.4743
Champaign,0,0.0,0,3.2,stable,0.4743
Lafayette,0,0.0,1,-1.3,stable,0.4743
Door,0,0.0,0,-0.4,stable,0.4743
Whiteside,0,0.0,0,-0.9,stable,0.47420000000000007
Burt,0,0.0,1,1.9,stable,0.47420000000000007
Pickaway,0,0.0,0,2.6,stable,0.47420000000000007
Androscoggin,1,32.25,2,2.0,stable,0.47420000000000007
Davidson,0,0.0,5,-2.5,stable,0.47409999999999997
Craighead,0,0.0,1,3.8,stable,0.47409999999999997
New London,1,36.53,20,-0.9,falling,0.47400000000000003
St Clair,0,0.0,0,-0.1,stable,0.47400000000000003
Hillsborough,5,158.55,2,-1.5,stable,0.47400000000000003
Potter,0,0.0,0,-3.9,stable,0.4739
Chickasaw,0,0.0,1,-0.1,stable,0.4739
Wayne,0,0.0,3,-1.0,stable,0.4739
Boone,0,0.0,2,-0.1,stable,0.4737
Putnam,0,0.0,0,0.9,stable,0.4737
Preble,0,0.0,0,0.3,stable,0.4737
Stark,0,0.0,0,-7.9,stable,0.4737
Jones,0,0.0,0,1.1,stable,0.4737
Hancock,0,0.0,0,0.6,stable,0.4737
Burke,0,0.0,0,0.2,stable,0.4736000000000001
Moore,3,135.72,0,-4.5,stable,0.47350000000000003
Sheboygan,2,76.72,2,0.5,stable,0.47340000000000004
Coryell,0,0.0,0,1.2,stable,0.47340000000000004
Portage,1,52.28,1,1.9,rising,0.47340000000000004
Wayne,0,0.0,1,0.6,stable,0.4733
Douglas,0,0.0,0,7.0,stable,0.4733
St Louis,4,103.72999999999999,3,-0.9,stable,0.4732
Mason,1,0.0,3,3.8,stable,0.4731
Iroquois,0,0.0,0,2.0,stable,0.473
Morgan,0,0.0,0,1.7,stable,0.4729
Codington,0,0.0,1,-2.3,stable,0.4729
Lowndes,1,52.47,2,0.0,stable,0.4729
Sawyer,0,0.0,0,1.1,stable,0.47280000000000005
Eaton,1,31.32,2,0.5,stable,0.4727
Dare,0,0.0,1,4.8,stable,0.4727
