County,Number_Of_NPL_Sites,NPL_Score_Sum,Number_Of_Harmful_Power_Plants,Incident_Rate_Trend,Recent_5years_Trend,Time_Adjusted_Cancer_Rate
McCreary,0,0.0,0,-0.2,stable,0.5357000000000001
Mineral,1,51.33,0,-0.8,stable,0.5352999999999999
East Carroll,0,0.0,0,0.3,stable,0.5351
Chautauqua,0,0.0,3,0.2,stable,0.5351
Ransom,0,0.0,1,-12.1,falling,0.5349999999999999
Kent,3,109.39000000000001,5,-1.0,stable,0.5348
Morehouse,0,0.0,0,0.3,stable,0.5344
Treasure,0,0.0,0,-4.8,stable,0.5339
Hamilton,0,0.0,1,-2.6,stable,0.5337000000000001
Johnson,0,0.0,0,0.4,stable,0.5336000000000001
Grayson,0,0.0,0,0.6,stable,0.5332000000000001
Hart,0,0.0,0,0.9,stable,0.5331
Ohio,1,43.84,0,0.9,stable,0.5331
Alexander,0,0.0,0,3.9,stable,0.5331
Potter,0,0.0,0,-8.0,stable,0.5329999999999999
Nassau,0,0.0,3,2.2,stable,0.5329
Roscommon,0,0.0,0,2.1,stable,0.5327000000000001
Jefferson,1,34.62,3,-0.4,falling,0.5327000000000001
Marion,1,30.0,1,0.2,stable,0.5326
Jefferson,2,97.03,3,0.0,stable,0.5325
Bourbon,0,0.0,1,-0.8,stable,0.5324000000000001
Monona,0,0.0,0,0.4,stable,0.5324000000000001
Oneida,0,0.0,1,-2.7,stable,0.5324000000000001
Oswego,2,32.89,6,-0.4,stable,0.5321999999999999
Iberville,0,0.0,6,-2.9,falling,0.5319
Greene,0,0.0,1,3.6,stable,0.5317999999999999
Clay,0,0.0,4,2.6,stable,0.5316
Lumpkin,0,0.0,0,0.0,stable,0.5311
Oldham,0,0.0,1,-0.8,falling,0.5309
Wyoming,0,0.0,2,0.1,stable,0.5306
Claiborne,0,0.0,0,0.8,stable,0.5306
Sherman,0,0.0,0,-6.0,stable,0.5304
Suffolk,10,427.97,23,-0.9,falling,0.5303
Cass,0,0.0,0,3.3,stable,0.5303
Pulaski,0,0.0,0,-2.7,stable,0.5301
Green,0,0.0,2,1.7,rising,0.5299
Elk,0,0.0,1,2.4,stable,0.5297000000000001
Burlington,11,421.99,9,-7.8,falling,0.5296000000000001
Rensselaer,3,154.66,5,0.7,stable,0.5294
Cumberland,0,0.0,0,3.5,stable,0.5293
Chenango,1,34.78,0,0.4,stable,0.5287999999999999
Sargent,0,0.0,0,2.0,stable,0.5287
Sangamon,0,0.0,5,1.9,stable,0.5287
St Landry,0,0.0,1,0.3,stable,0.5284000000000001
Saratoga,3,127.31,1,-0.2,stable,0.5283
De Soto,0,0.0,2,-0.1,stable,0.5283
Northampton,2,94.38,5,-0.9,stable,0.528
Franklin City,0,0.0,0,6.2,stable,0.5277999999999999
Mississippi,0,0.0,0,5.9,stable,0.5277999999999999
West Baton Rouge,0,0.0,5,-0.4,stable,0.5274
Benton,0,0.0,1,-1.8,stable,0.5271
Flathead,1,68.39,1,-1.8,stable,0.527
Esmeralda,0,0.0,0,7.8,stable,0.5268999999999999
Marion,0,0.0,1,2.8,stable,0.5267000000000001
Orleans,2,82.9,0,0.1,stable,0.5266
Bryan,0,0.0,0,0.7,stable,0.5265
Monroe,0,0.0,0,6.5,stable,0.5264000000000001
Boyd,0,0.0,1,-0.7,falling,0.5264000000000001
Grenada,1,50.0,0,-4.7,stable,0.526
Magoffin,0,0.0,0,0.0,stable,0.5257999999999999
Logan,1,34.21,0,-0.1,stable,0.5257000000000001
Bienville,0,0.0,0,-0.3,stable,0.5257000000000001
Kidder,0,0.0,0,4.2,stable,0.5255
Greenup,0,0.0,0,-4.6,stable,0.5254
Garfield,0,0.0,1,-9.9,stable,0.5254
Adams,0,0.0,1,1.5,rising,0.5251
St Francois,1,84.91,4,-1.3,stable,0.525
Whitley,0,0.0,0,0.3,stable,0.525
Shelby,0,0.0,0,-0.1,stable,0.5247999999999999
Duval,5,227.71999999999997,7,-1.2,stable,0.5244000000000001
Daviess,1,29.12,1,2.2,stable,0.5243
Pendleton,0,0.0,1,0.3,stable,0.5242
Nuckolls,0,0.0,0,-0.4,stable,0.524
Cabell,0,0.0,0,-1.6,stable,0.5238999999999999
Hitchcock,0,0.0,0,-0.1,stable,0.5236999999999999
Morton,0,0.0,2,-1.7,stable,0.5236999999999999
Lewis,0,0.0,0,1.5,stable,0.5234
Gloucester,0,0.0,1,0.3,stable,0.5232000000000001
Harrison,0,0.0,0,-0.2,stable,0.5232000000000001
Forest,0,0.0,0,2.3,stable,0.5231
Menifee,0,0.0,0,0.2,stable,0.5231
Sheridan,0,0.0,0,-16.0,stable,0.5227999999999999
Chambers,0,0.0,0,-1.5,stable,0.5227999999999999
Spalding,0,0.0,0,-0.3,stable,0.5226000000000001
Clay,0,0.0,1,2.1,stable,0.5224000000000001
King William,0,0.0,1,4.0,stable,0.5223
Shelby,0,0.0,0,5.3,stable,0.5223
Henry,0,0.0,0,0.0,stable,0.5222
Belknap,0,0.0,0,1.6,stable,0.5221
Grant,0,0.0,0,2.4,stable,0.522
Gallatin,0,0.0,0,0.9,stable,0.5218999999999999
Jefferson,0,0.0,1,-3.6,stable,0.5218999999999999
Menard,0,0.0,0,2.6,stable,0.5218999999999999
Richmond,0,0.0,2,-0.5,stable,0.5218
Madison,0,0.0,0,0.6,stable,0.5217
Carroll,1,58.15,0,3.2,stable,0.5217
Livingston,0,0.0,1,2.0,stable,0.5216
Wicomico,0,0.0,1,0.5,stable,0.5213000000000001
Floyd,1,30.01,2,0.2,stable,0.5213000000000001
Nelson,1,34.78,0,-1.2,stable,0.5212
Cecil,5,222.78000000000003,1,1.4,stable,0.521
Waynesboro City,0,0.0,0,1.8,stable,0.5209
Wilkinson,0,0.0,0,4.3,stable,0.5208
Shelby,0,0.0,3,7.8,rising,0.5205
Grant,0,0.0,0,34.0,stable,0.5204
Van Buren,0,0.0,0,0.6,stable,0.5204
Tift,1,30.26,0,0.8,stable,0.5204
Tucker,0,0.0,0,0.7,stable,0.5204
Edmonson,0,0.0,0,0.4,stable,0.5198
Ocean,5,260.17999999999995,7,-7.5,falling,0.5198
Jefferson,0,0.0,0,0.0,stable,0.5198
Camden,9,434.89,5,-0.2,stable,0.5198
Page,0,0.0,1,0.7,rising,0.5196000000000001
Williamson,0,0.0,0,2.0,stable,0.5195
Putnam,2,37.93,1,-0.9,falling,0.5194
Marion,0,0.0,0,-4.7,stable,0.5194
Tunica,0,0.0,0,-3.4,stable,0.5192
Surry,0,0.0,1,-0.2,stable,0.5192
Cattaraugus,2,44.46,2,0.0,stable,0.519
Van Buren,0,0.0,0,0.2,stable,0.519
Golden Valley,0,0.0,0,-1.7,stable,0.5188
Carroll,0,0.0,2,7.3,stable,0.5188
Union,0,0.0,0,0.2,stable,0.5187
Yazoo,0,0.0,2,-0.6,stable,0.5187
Meade,0,0.0,0,0.2,stable,0.5182000000000001
Herkimer,0,0.0,0,0.0,stable,0.518
Sullivan,0,0.0,0,-7.8,falling,0.518
Union,0,0.0,0,-1.7,stable,0.5178999999999999
Emmet,0,0.0,1,0.1,stable,0.5178999999999999
Sunflower,0,0.0,0,2.3,rising,0.5178999999999999
Wirt,0,0.0,0,1.1,stable,0.5178
Livingston,0,0.0,0,0.5,stable,0.5178
Onondaga,1,50.0,3,-1.1,falling,0.5178
Albany,1,44.58,4,0.2,stable,0.5178
Rockingham,0,0.0,2,-0.5,stable,0.5177
Knox,1,40.63,2,-0.7,stable,0.5175
Wayne,0,0.0,1,0.1,stable,0.5175
Monmouth,8,351.5,2,-7.5,falling,0.5174
Campbell,0,0.0,0,2.8,stable,0.5174
Starke,0,0.0,0,-1.6,stable,0.5174
Davie,0,0.0,0,-2.5,stable,0.517
Forrest,0,0.0,0,-2.8,stable,0.517
La Salle,3,142.06,0,0.0,stable,0.5169
Garvin,0,0.0,0,-3.7,stable,0.5169
Greene,1,33.61,3,-0.6,stable,0.5169
Chemung,2,86.32,0,-0.5,stable,0.5168
