name,latitude,longitude,primary_fuel,state,normalized_county,Fips
CSL Gas Recovery,26.288,-80.1665,Waste,Florida,Broward,12011
CT Resource Rec Authority Facility,41.7505,-72.653,Waste,Connecticut,Hartford,9003
Cadillac Renewable Energy,44.2617,-85.4352,Waste,Michigan,Wexford,26165
Calabasas Gas to Energy Facility,34.1511,-118.7236,Waste,California,Los Angeles,6037
Camden Resource Recovery Facility,39.9092,-75.1169,Waste,New Jersey,Camden,34007
Carbon Limestone,40.9975,-80.5208,Waste,Pennsylvania,Lawrence,42073
Cedar Hills,47.4558,-122.0428,Waste,Washington,King,53033
Chaffee Gas Recovery,42.5831,-78.4864,Waste,New York,Cattaraugus,36009
Charles City,37.4389,-77.1286,Waste,Virginia,Charles City,51036
Chautauqua LFGTE Facility,42.1989,-79.3186,Waste,New York,Chautauqua,36013
Chesterfield Landfill Gas,37.3517,-77.4969,Waste,Virginia,Chesterfield,51041
Chestnut Ridge Gas Recovery,36.1172,-84.0317,Waste,Tennessee,Anderson,47001
Cinnamon Bay Edgeboro Landfill,40.4653,-74.3939,Waste,New Jersey,Middlesex,34023
Clark-Floyd Landfill Gas Generating,38.4564,-85.8375,Waste,Indiana,Clark,18019
Clewiston Sugar House,26.7351,-80.9377,Waste,Florida,Hendry,12051
Clinton LFGTE,40.1208,-88.9611,Waste,Illinois,De Witt,17039
Clinton LFGTE Facility,44.6917,-73.5944,Waste,New York,Clinton,36019
Co-Gen II LLC,42.9611,-123.3591,Waste,Oregon,Douglas,41019
Co-Gen LLC,44.4587,-118.7206,Waste,Oregon,Grant,41023
Coastal Plains,29.4275,-95.1876,Waste,Texas,Brazoria,48039
Coffin Butte,44.6969,-123.2234,Waste,Oregon,Linn,41043
Cold Canyon 1,35.1867,-120.5994,Waste,California,San Luis Obispo,6079
Collins Pine Project,40.3034,-121.2444,Waste,California,Plumas,6063
Colonie LFGTE Facility,42.8033,-73.7267,Waste,New York,Albany,36001
Columbia Flooring Melbourne,36.0605,-91.9198,Waste,Arkansas,Izard,5065
Commerce Refuse To Energy,33.9949,-118.1538,Waste,California,Los Angeles,6037
Concord Energy,35.346,-80.6704,Waste,North Carolina,Cabarrus,37025
Cosmo Specialty Fibers Plant,46.9541,-123.7611,Waste,Washington,Grays Harbor,53027
Countyside Genco LLC,42.3211,-88.0319,Waste,Illinois,Lake,17097
Covanta Alexandria/Arlington Energy,38.8014,-77.1288,Waste,Virginia,Fairfax,51059
Covanta Babylon Inc,40.7348,-73.3868,Waste,New York,Suffolk,36103
Covanta Bristol Energy,41.6492,-72.9153,Waste,Connecticut,Hartford,9003
Covanta Delano Energy,35.7144,-119.2337,Waste,California,Kern,6029
Covanta Delaware Valley,39.8265,-75.3882,Waste,Pennsylvania,Delaware,42045
Covanta Essex Company,40.7376,-74.1255,Waste,New Jersey,Hudson,34017
Covanta Fairfax Energy,38.695,-77.2411,Waste,Virginia,Fairfax,51059
Covanta Haverhill,42.765,-71.1242,Waste,Massachusetts,Essex,25009
Covanta Hempstead,40.7389,-73.5906,Waste,New York,Nassau,36059
Covanta Hennepin Energy,44.9833,-93.2804,Waste,Minnesota,Hennepin,27053
Covanta Indianapolis Energy,39.7345,-86.1891,Waste,Indiana,Marion,18097
Covanta Lake County Energy,28.7402,-81.8892,Waste,Florida,Lake,12069
Covanta Marion Inc,45.0485,-122.9628,Waste,Oregon,Marion,41047
Covanta Mendota,36.7559,-120.3654,Waste,California,Fresno,6019
Covanta Niagara I  LLC,43.0839,-79.0056,Waste,New York,Niagara,36063
Covanta Plymouth Renewable Energy,40.0967,-75.3103,Waste,Pennsylvania,Montgomery,42091
Covanta Southeastern Connecticut Company,41.475,-72.0688,Waste,Connecticut,New London,9011
Covanta Stanislaus Energy,37.3853,-121.141,Waste,California,Stanislaus,6099
Covanta Tulsa Renewable Energy LLC,36.1319,-96.0181,Waste,Oklahoma,Tulsa,40143
Covanta Warren Energy,40.8205,-75.0112,Waste,New Jersey,Warren,34041
Covel Gardens Gas Recovery,29.3467,-98.6536,Waste,Texas,Bexar,48029
Covington Facility,37.7997,-79.9947,Waste,Virginia,Covington City,51580
Cox Waste to Energy,37.3208,-85.3611,Waste,Kentucky,Taylor,21217
Craven County Wood Energy LP,35.1302,-77.1679,Waste,North Carolina,Craven,37049
Croda Atlas Point CHP,39.6933,-75.5431,Waste,Delaware,New Castle,10003
Cumberland County PA LFG Recovery,40.1356,-77.5072,Waste,Pennsylvania,Cumberland,42041
Cumberland County Solid Waste Complex,39.4494,-75.0928,Waste,New Jersey,Cumberland,34011
DADS Gas Recovery,39.6522,-104.7161,Waste,Colorado,Arapahoe,8005
DANC LFGTE Facility,43.82,-75.9175,Waste,New York,Jefferson,36045
DFW Gas Recovery,33.0196,-96.962,Waste,Texas,Denton,48121
DG Whitefield LLC,44.358,-71.5449,Waste,New Hampshire,Coos,33007
Dane County Landfill #2 Rodefeld,43.0453,-89.2539,Waste,Wisconsin,Dane,55025
Darrington,48.2697,-121.6,Waste,Washington,Snohomish,53061
Dart Container Corp,40.0865,-76.176,Waste,Pennsylvania,Lancaster,42071
