name,latitude,longitude,primary_fuel,state,normalized_county,Fips
Edgecombe Genco LLC,36.0373,-77.7533,Coal,North Carolina,Nash,37127
Edgewater,43.7151,-87.7059,Coal,Wisconsin,Sheboygan,55117
Edwardsport,38.8067,-87.2472,Coal,Indiana,Knox,18083
Eielson AFB Central Heat & Power Plant,64.6714,-147.076,Coal,Alaska,Fairbanks North Star,2090
Elizabethtown Power LLC,34.6472,-78.6415,Coal,North Carolina,Bladen,37017
Elm Road Generating Station,42.8492,-87.8336,Coal,Wisconsin,Milwaukee,55079
Elmer Smith,37.7942,-87.0608,Coal,Kentucky,Daviess,21059
Erickson Station,42.6922,-84.6572,Coal,Michigan,Eaton,26045
Escalante,35.4159,-108.082,Coal,New Mexico,McKinley,35031
F B Culley,37.9111,-87.3275,Coal,Indiana,Warrick,18173
Fayette Power Project,29.9172,-96.7506,Coal,Texas,Fayette,48149
FirstEnergy Bruce Mansfield,40.6348,-80.4159,Coal,Pennsylvania,Beaver,42007
FirstEnergy Fort Martin Power Station,39.7108,-79.9275,Coal,Pennsylvania,Fayette,42051
FirstEnergy Harrison Power Station,39.3842,-80.3325,Coal,West Virginia,Harrison,54033
FirstEnergy Pleasants Power Station,39.3667,-81.2944,Coal,Ohio,Washington,39167
FirstEnergy W H Sammis,40.5317,-80.6319,Coal,West Virginia,Hancock,54029
Flint Creek,36.2561,-94.5241,Coal,Arkansas,Benton,5007
Foster Wheeler Mt Carmel Cogen,40.8112,-76.453,Coal,Pennsylvania,Northumberland,42097
Four Corners,36.69,-108.4814,Coal,New Mexico,San Juan,35045
G G Allen,35.1897,-81.0122,Coal,North Carolina,Gaston,37071
Gallatin (TN),36.3156,-86.4006,Coal,Tennessee,Sumner,47165
Gavin Power  LLC,38.9347,-82.1158,Coal,West Virginia,Mason,54053
General Chemical,41.5933,-109.7542,Coal,Wyoming,Sweetwater,56037
Genesis Alkali,41.6217,-109.8119,Coal,Wyoming,Sweetwater,56037
Genoa,43.5589,-91.2325,Coal,Wisconsin,La Crosse,55063
George Neal North,42.2998,-96.3617,Coal,Iowa,Woodbury,19193
George Neal South,42.3006,-96.3617,Coal,Iowa,Woodbury,19193
Gerald Gentleman,41.0808,-101.1408,Coal,Nebraska,Lincoln,31111
Ghent,38.7497,-85.035,Coal,Indiana,Switzerland,18155
Gibbons Creek,30.6199,-96.0818,Coal,Texas,Grimes,48185
Gibson,38.3722,-87.7658,Coal,Illinois,Wabash,17185
Gorgas,33.6443,-87.1965,Coal,Alabama,Walker,1127
Grant Town Power Plant,39.5618,-80.1631,Coal,West Virginia,Marion,54049
H L Spurlock,38.7,-83.8181,Coal,Ohio,Brown,39015
HMP&L Station Two Henderson,37.6469,-87.5028,Coal,Kentucky,Webster,21233
Hammond,34.2528,-85.3456,Coal,Georgia,Floyd,13115
Hardin Generator Project,45.7578,-107.6,Coal,Montana,Big Horn,30003
Harrington,35.2982,-101.7472,Coal,Texas,Potter,48375
Havana,40.2797,-90.08,Coal,Illinois,Mason,17125
Hawthorn,39.1306,-94.4778,Coal,Missouri,Jackson,29095
Hayden,40.4856,-107.185,Coal,Colorado,Routt,8107
Healy,63.8542,-148.95,Coal,Alaska,Denali,2068
Hennepin Power Station,41.3028,-89.315,Coal,Illinois,Bureau,17011
Herbert A Wagner,39.1781,-76.5268,Coal,Maryland,Anne Arundel,24003
