Site Name,Site Score,State,normalized_county,Status,Latitude,Longitude,Fips
Cabot/Koppers,36.69,Florida,Alachua,NPL Site,29.675,-82.323061,12001
Peak Oil Co./Bay Drum Co.,58.15,Florida,Hillsborough,NPL Site,27.9708,-82.3404,12057
"Pepper Steel & Alloys, Inc.",31.92,Florida,Miami-Dade,NPL Site,25.873611,-80.35333100000003,12086
Sydney Mine Sludge Ponds,38.93,Florida,Hillsborough,NPL Site,27.929166,-82.209166,12057
Wingate Road Municipal Incinerator Dump,31.72,Florida,Broward,NPL Site,26.1444,-80.1847,12011
Piper Aircraft Corp./Vero Beach Water & Sewer Department,31.13,Florida,Indian River,NPL Site,27.647499,-80.415555,12061
Harris Corp. (Palm Bay Plant),35.57,Florida,Brevard,NPL Site,28.030281,-80.601389,12009
Petroleum Products Corp.,40.11,Florida,Broward,NPL Site,25.9926,-80.1696,12011
"Anodyne, Inc.",31.03,Florida,Miami-Dade,NPL Site,25.923189,-80.221531,12086
Airco Plating Co.,42.47,Florida,Miami-Dade,NPL Site,25.8152,-80.2559,12086
Madison County Sanitary Landfill,37.93,Florida,Madison,NPL Site,30.501111,-83.39375,12079
Agrico Chemical Co.,44.98,Florida,Escambia,NPL Site,30.4512,-87.2256,12033
Jacksonville Naval Air Station,32.08,Florida,Duval,NPL Site,30.22111,-81.682777,12031
Cecil Field Naval Air Station,31.99,Florida,Duval,NPL Site,30.23861,-81.902777,12031
Pensacola Naval Air Station,42.4,Florida,Escambia,NPL Site,30.357222,-87.283054,12033
Homestead Air Force Base,42.4,Florida,Miami-Dade,NPL Site,25.489444,-80.39694399999998,12086
Stauffer Chemical Co. (Tarpon Springs),50.0,Florida,Pinellas,NPL Site,28.166666,-82.775694,12103
Helena Chemical Co. (Tampa Plant),30.19,Florida,Hillsborough,NPL Site,27.963931,-82.374813,12057
Whiting Field Naval Air Station,50.0,Florida,Santa Rosa,NPL Site,30.709722,-87.02041700000002,12113
Chevron Chemical Co. (Ortho Division),50.0,Florida,Orange,NPL Site,28.578889,-81.408889,12095
Escambia Wood - Pensacola,50.0,Florida,Escambia,NPL Site,30.4553,-87.2317,12033
MRI Corp (Tampa),37.62,Florida,Hillsborough,NPL Site,27.96,-82.35583299999998,12057
Stauffer Chemical Co (Tampa),59.81,Florida,Hillsborough,NPL Site,27.963056,-82.37055600000002,12057
Tyndall Air Force Base,50.0,Florida,Bay,NPL Site,30.0875,-85.586667,12005
Florida Petroleum Reprocessors,50.0,Florida,Broward,NPL Site,26.081944,-80.215556,12011
Oak Grove Village Well,50.0,Missouri,Franklin,NPL Site,38.220972,-91.149461,29071
Pagel's Pit,45.91,Illinois,Winnebago,NPL Site,42.158331,-89.056661,17201
Newton County Mine Tailings,50.0,Missouri,Newton,NPL Site,36.9921,-94.3848,29145
Madison County Mines,58.41,Missouri,Madison,NPL Site,37.546111,-90.276111,29123
Conservation Chemical Co.,29.85,Missouri,Jackson,NPL Site,39.1279,-94.4722,29095
Annapolis Lead Mine,56.67,Missouri,Iron,NPL Site,37.355556,-90.675,29093
Washington County Lead District - Old Mines,76.81,Missouri,Washington,NPL Site,38.075278,-90.738333,29221
Washington County Lead District - Potosi,50.0,Missouri,Washington,NPL Site,37.9399,-90.7724,29221
Washington County Lead District - Richwoods,76.81,Missouri,Washington,NPL Site,38.16615,-90.814264,29221
Southwest Jefferson County Mining,70.71,Missouri,Jefferson,NPL Site,38.186794,-90.758975,29099
Vienna Wells,50.0,Missouri,Maries,NPL Site,38.189597,-91.944158,29125
Washington County Lead District - Furnace Creek,50.0,Missouri,Washington,NPL Site,37.840531,-90.799556,29221
Compass Plaza Well TCE,50.0,Missouri,Greene,NPL Site,37.109009,-93.083168,29077
