name,latitude,longitude,primary_fuel,state,normalized_county,Fips
Amphitheater High School Solar,32.269,-110.975,Solar,Arizona,Pima,4019
Anaheim Solar Energy Plant,33.8025,-117.9197,Solar,California,Orange,6059
Anderson Farm LLC,34.9756,-78.5167,Solar,North Carolina,Sampson,37163
Andrew Solar,35.1608,-77.1099,Solar,North Carolina,Craven,37049
Andromeda Community Solar,44.9019,-94.0316,Solar,Minnesota,McLeod,27085
Angel Solar,35.6511,-81.2086,Solar,North Carolina,Catawba,37035
Angier Farm,35.5164,-78.75,Solar,North Carolina,Harnett,37085
Annandale Solar,45.247,-94.1069,Solar,Minnesota,Wright,27171
Antares-GRE 314 East Lyme LLC,41.4169,-72.2344,Solar,Connecticut,New London,9011
Antelope Big Sky Ranch,34.6948,-118.2877,Solar,California,Los Angeles,6037
Antelope DSR 1,34.6556,-118.2807,Solar,California,Los Angeles,6037
Antelope DSR 2,34.6869,-118.3117,Solar,California,Los Angeles,6037
Anthony Wayne Solar #1,41.6272,-83.5747,Solar,Ohio,Wood,39173
Antlia Community Solar,43.9065,-96.1382,Solar,Minnesota,Pipestone,27117
Apache Solar 1,32.0681,-109.8904,Solar,Arizona,Cochise,4003
Apex Solar PV Power Project,36.39,-114.97,Solar,Nevada,Clark,32003
Apple Campus 2 PV,37.33,-122.01,Solar,California,Santa Clara,6085
Apple Data Center - PV2,35.7389,-81.2078,Solar,North Carolina,Catawba,37035
Apple Data Center PV,35.5881,-81.252,Solar,North Carolina,Catawba,37035
Apple Data Center PV3,35.715,-81.15,Solar,North Carolina,Catawba,37035
Apple One,35.6294,-81.1569,Solar,North Carolina,Catawba,37035
Aqua Ingrams Mill,39.9647,-75.6578,Solar,Pennsylvania,Chester,42029
Arapahoe 3 Community Solar Array,39.6384,-104.6742,Solar,Colorado,Douglas,8035
Ararat Rock Solar  LLC,36.4611,-80.6006,Solar,North Carolina,Surry,37171
Arba Solar  LLC,35.3964,-77.7036,Solar,North Carolina,Greene,37079
Archdiocese of Baltimore J,39.445,-76.217,Solar,Maryland,Harford,24025
Archdiocese of Baltimore L,39.445,-76.217,Solar,Maryland,Harford,24025
Aries Community Solar,44.0449,-92.9886,Solar,Minnesota,Dodge,27039
Arizona Western College PV,32.6878,-114.4961,Solar,Arizona,Yuma,4027
Arlington Valley Solar Energy II,33.305,-112.8339,Solar,Arizona,Maricopa,4013
Arndt Farm,35.7792,-81.1756,Solar,North Carolina,Catawba,37035
Arrache 4006,34.655,-118.0511,Solar,California,Los Angeles,6037
Arrache 4013,34.6506,-118.0519,Solar,California,Los Angeles,6037
Arrache 8083,34.6478,-118.0611,Solar,California,Los Angeles,6037
Arzon Solar UASTP Solar Power Station,32.1081,-110.8247,Solar,Arizona,Pima,4019
Ashby Duffy CSG Solar Farm,42.68,-71.83,Solar,Massachusetts,Middlesex,25017
Ashley Solar Farm,36.1261,-80.7989,Solar,North Carolina,Yadkin,37197
Aspen Solar  LLC,34.7912,-78.0121,Solar,North Carolina,Duplin,37061
Aspiration G,36.5522,-120.3525,Solar,California,Fresno,6019
Atkinson Farm Solar,34.897,-77.7952,Solar,North Carolina,Duplin,37061
Atlantic City Convention Center,39.3639,-74.4408,Solar,New Jersey,Atlantic,34001
Atlantic Coast Freezers Solar Facility,39.5199,-75.029,Solar,New Jersey,Gloucester,34015
Atwater Solar,45.1409,-94.7697,Solar,Minnesota,Kandiyohi,27067
Atwell Island,35.895,-119.5108,Solar,California,Tulare,6107
Atwell Island West Solar,35.815,-119.4597,Solar,California,Tulare,6107
Audrey Solar,35.3281,-81.6219,Solar,North Carolina,Cleveland,37045
