County,State,Number_Of_NPL_Sites,NPL_Score_Sum,Number_Of_Harmful_Power_Plants,Generation_5years_Total,Incident_Rate_Trend,Recent_5years_Trend,Time_Adjusted_Cancer_Rate,NPL_Status,Powerplants_Status
Pike,Kentucky,0,0.0,0,0.0,0.1,stable,0.5444,No NPL Sites,No Harmful Powerplants
Hancock,Tennessee,0,0.0,0,0.0,-2.2,stable,0.5443,No NPL Sites,No Harmful Powerplants
Iron,Missouri,1,56.67,0,0.0,-0.1,stable,0.5437000000000001,Have NPL Sites,No Harmful Powerplants
Lee,Georgia,0,0.0,0,0.0,1.2,stable,0.5426,No NPL Sites,No Harmful Powerplants
Nelson,Kentucky,0,0.0,0,0.0,-0.4,stable,0.5424,No NPL Sites,No Harmful Powerplants
Haakon,South Dakota,0,0.0,0,0.0,-13.9,falling,0.542,No NPL Sites,No Harmful Powerplants
Poinsett,Arkansas,0,0.0,0,0.0,2.3,stable,0.542,No NPL Sites,No Harmful Powerplants
Cerro Gordo,Iowa,1,69.33,2,2430.695,0.5,rising,0.5417000000000001,Have NPL Sites,Two Harmful Powerplants
Boone,West Virginia,0,0.0,0,0.0,1.5,stable,0.5412999999999999,No NPL Sites,No Harmful Powerplants
Calhoun,Arkansas,0,0.0,0,0.0,6.0,stable,0.5412,No NPL Sites,No Harmful Powerplants
Niagara,New York,3,101.62,6,78109.453322,-0.1,stable,0.541,Have NPL Sites,More Than Two Harmful Powerplants
Grundy,Illinois,0,0.0,3,28192.096011,-0.3,stable,0.5409,No NPL Sites,More Than Two Harmful Powerplants
Franklin,Mississippi,0,0.0,0,0.0,3.6,stable,0.5408,No NPL Sites,No Harmful Powerplants
Pulaski,Kentucky,0,0.0,1,3642.7380030000013,-0.2,stable,0.5408,No NPL Sites,One Harmful Powerplants
Henry,Missouri,0,0.0,0,0.0,1.1,stable,0.5408,No NPL Sites,No Harmful Powerplants
Kiowa,Oklahoma,0,0.0,0,2982.385,-4.0,stable,0.5400999999999999,No NPL Sites,No Harmful Powerplants
Garrard,Kentucky,0,0.0,0,0.0,-0.5,stable,0.54,No NPL Sites,No Harmful Powerplants
Mason,Kentucky,0,0.0,1,51661.863162,0.0,stable,0.5397000000000001,No NPL Sites,One Harmful Powerplants
Gloucester,New Jersey,9,491.84,6,19106.59962200001,-8.4,falling,0.5395000000000001,Have NPL Sites,More Than Two Harmful Powerplants
Turner,Georgia,0,0.0,0,0.0,0.3,stable,0.5388000000000001,No NPL Sites,No Harmful Powerplants
Anderson,Kentucky,0,0.0,0,0.0,-0.1,stable,0.5387,No NPL Sites,No Harmful Powerplants
Hardin,Kentucky,1,44.77,0,0.0,-0.1,stable,0.5385,Have NPL Sites,No Harmful Powerplants
Sussex,Virginia,0,0.0,0,2.361,3.2,stable,0.5383,No NPL Sites,No Harmful Powerplants
Bolivar,Mississippi,0,0.0,0,0.0,-3.9,stable,0.5381,No NPL Sites,No Harmful Powerplants
Greene,Iowa,0,0.0,1,1247.8718,1.1,rising,0.5378,No NPL Sites,One Harmful Powerplants
Morgan,Illinois,0,0.0,0,0.0,2.5,stable,0.5376000000000001,No NPL Sites,No Harmful Powerplants
Fleming,Kentucky,1,31.71,0,0.0,0.0,stable,0.5368999999999999,Have NPL Sites,No Harmful Powerplants
East Feliciana,Louisiana,0,0.0,0,0.0,0.2,stable,0.5368,No NPL Sites,No Harmful Powerplants
