name,latitude,longitude,primary_fuel,state,normalized_county,Fips
Bosque County Peaking,31.8594,-97.3586,Gas,Texas,Bosque,48035
Boston Medical Center CHP Plant,42.3347,-71.0742,Gas,Massachusetts,Suffolk,25025
Boulder Park,47.6972,-117.1472,Gas,Washington,Spokane,53063
Bountiful City,40.8869,-111.8853,Gas,Utah,Davis,49011
Bowline Point,41.2044,-73.9689,Gas,New York,Rockland,36087
Bowling Green Generating Station,41.3974,-83.6412,Gas,Ohio,Wood,39173
Bowling Green Peaking,41.3884,-83.6402,Gas,Ohio,Wood,39173
Bradley Energy Center,41.9271,-72.6831,Gas,Connecticut,Hartford,9003
Brandon Station,33.5853,-101.8861,Gas,Texas,Lubbock,48303
Brandy Branch,30.3206,-81.9472,Gas,Florida,Duval,12031
Bremo Bluff,37.7089,-78.2878,Gas,Virginia,Fluvanna,51065
Brentwood,40.7871,-73.2934,Gas,New York,Suffolk,36103
Bridgeport Energy Project,41.1692,-73.1844,Gas,Connecticut,Fairfield,9001
Bridgeport Fuel Cell Park,41.1681,-73.2111,Gas,Connecticut,Fairfield,9001
Bridgeport Gas Processing Plant,33.1958,-97.8025,Gas,Texas,Wise,48497
Bristol Myers Squibb Lawrenceville,40.3247,-74.7078,Gas,New Jersey,Mercer,34021
Bristol Myers Squibb New Brunswick,40.4757,-74.4462,Gas,New Jersey,Middlesex,34023
Bristol Myers Squibb Wallingford,41.4836,-72.7564,Gas,Connecticut,New Haven,9009
Broad River Energy Center,35.0786,-81.575,Gas,South Carolina,Cherokee,45021
Broadridge Cogen,38.6183,-121.0564,Gas,California,El Dorado,6017
Broadway (IN),37.9691,-87.6049,Gas,Indiana,Vanderburgh,18163
Broken Bow,41.4031,-99.6392,Gas,Nebraska,Custer,31041
Bronx Zoo,40.8441,-73.8769,Gas,New York,Bronx,36005
Brookside Newark,39.6689,-75.7161,Gas,Delaware,New Castle,10003
Broshco Fabricated Products,40.7761,-82.5686,Gas,Ohio,Richland,39139
Brownsville Peaking Power,35.5438,-89.198,Gas,Tennessee,Haywood,47075
