name,latitude,longitude,primary_fuel,state,normalized_county,Fips
Gaston,36.4991,-77.8115,Hydro,North Carolina,Halifax,37083
Gaston Shoals,35.1381,-81.5975,Hydro,South Carolina,Cherokee,45021
Gateway,41.1365,-111.8314,Hydro,Utah,Morgan,49029
Gauley River Power Partners,38.2192,-80.8906,Hydro,West Virginia,Nicholas,54067
Gavins Point,42.8488,-97.4815,Hydro,South Dakota,Yankton,46135
Gay Robinson,21.9178,-159.6294,Hydro,Hawaii,Kauai,15007
Gem State,43.4202,-112.1019,Hydro,Idaho,Bingham,16011
General Electric Great Falls Upper Hydro,43.2597,-70.8597,Hydro,New Hampshire,Strafford,33017
Georgetown Hydro,39.6919,-105.6978,Hydro,Colorado,Clear Creek,8019
Gilman Mill,44.4122,-71.7228,Hydro,New Hampshire,Grafton,33009
Glen,43.6368,-72.9758,Hydro,Vermont,Rutland,50021
Glen Canyon Dam,36.9366,-111.4839,Hydro,Arizona,Coconino,4005
Glen Ferris Hydro,38.1483,-81.2147,Hydro,West Virginia,Fayette,54019
Glen Park Hydroelectric Project,44.0006,-75.9612,Hydro,New York,Jefferson,36045
Glendo,42.4673,-104.9555,Hydro,Wyoming,Platte,56031
Glenwood Hydro,43.2358,-78.3906,Hydro,New York,Orleans,36073
Goat Lake Hydro,59.5357,-135.2123,Hydro,Alaska,Haines,2100
Goat Rock,32.6097,-85.0805,Hydro,Alabama,Lee,1081
Gonzales Hydro Plant,29.4972,-97.4552,Hydro,Texas,Gonzales,48177
Goodwin Hydroelectric,41.9886,-73.0194,Hydro,Connecticut,Litchfield,9005
Goodyear Lake Plant,42.5025,-74.9836,Hydro,New York,Otsego,36077
Gorge,48.6981,-121.2086,Hydro,Washington,Snohomish,53061
Gorge 18,44.49,-73.1693,Hydro,Vermont,Chittenden,50007
Gorham,44.4083,-71.1954,Hydro,New Hampshire,Coos,33007
Gosselin Hydro Plant,40.37,-123.4347,Hydro,California,Trinity,6105
Gouldtown,43.6126,-75.3391,Hydro,New York,Oneida,36065
Grace,42.5367,-111.794,Hydro,Idaho,Caribou,16029
Grahamsville,41.8592,-74.5106,Hydro,New York,Ulster,36111
Granby,43.3234,-76.4208,Hydro,New York,Oswego,36075
Granby Hydro,40.1464,-105.8683,Hydro,Colorado,Grand,8049
Grand Coulee,47.9575,-118.9773,Hydro,Washington,Okanogan,53047
Grand Rapids,45.3547,-87.6494,Hydro,Michigan,Menominee,26109
Grand Valley Project Power Plant,39.1017,-108.3456,Hydro,Colorado,Mesa,8077
Grandfather Falls,45.3019,-89.7917,Hydro,Wisconsin,Lincoln,55069
Granite,40.6192,-111.7821,Hydro,Utah,Salt Lake,49035
Granite Falls,44.8117,-95.5345,Hydro,Minnesota,Yellow Medicine,27173
Granite Shoals,30.556,-98.3384,Hydro,Texas,Llano,48299
Graniteville Enterprise Division,33.477,-81.9827,Hydro,Georgia,Richmond,13245
Great Falls (SC),34.5592,-80.8917,Hydro,South Carolina,Chester,45023
Great Falls (TN),35.8067,-85.6341,Hydro,Tennessee,Van Buren,47175
Great Falls (VT),44.5002,-71.9989,Hydro,Vermont,Caledonia,50005
Great Falls Hydro Project,40.9153,-74.181,Hydro,New Jersey,Passaic,34031
Great Lakes Hydro America - ME,45.6472,-68.7044,Hydro,Maine,Penobscot,23019
Green Island Hydroelectric Station,42.7481,-73.6902,Hydro,New York,Albany,36001
Green Lake,56.9863,-135.1227,Hydro,Alaska,Sitka,2220
Green Mountain,39.8788,-106.3327,Hydro,Colorado,Grand,8049
Green Peter,44.4494,-122.5494,Hydro,Oregon,Linn,41043
Green Springs,42.1212,-122.5479,Hydro,Oregon,Jackson,41029
Greenup Hydro,38.6472,-82.8594,Hydro,Ohio,Scioto,39145
Greers Ferry Lake,35.5207,-91.9953,Hydro,Arkansas,Cleburne,5023
Greg Avenue,34.2079,-118.3516,Hydro,California,Los Angeles,6037
Gregg Falls,43.0168,-71.5679,Hydro,New Hampshire,Hillsborough,33011
Grizzly,39.8893,-121.2792,Hydro,California,Butte,6007
Gross Hydro Plant,39.9456,-105.3565,Hydro,Colorado,Boulder,8013
Ground Water Pumping Station,45.5558,-122.4947,Hydro,Oregon,Multnomah,41051
Guernsey,42.2899,-104.7606,Hydro,Wyoming,Platte,56031
Gulf Island,44.1529,-70.2094,Hydro,Maine,Androscoggin,23001
Guntersville,34.4213,-86.3939,Hydro,Alabama,Madison,1089
H 4,29.4952,-97.6249,Hydro,Texas,Gonzales,48177
H 5,29.4681,-97.4919,Hydro,Texas,Gonzales,48177
H M Jackson,47.9084,-121.8144,Hydro,Washington,Snohomish,53061
H Neely Henry Dam,33.7845,-86.0524,Hydro,Alabama,Calhoun,1015
Haas,36.9274,-119.0203,Hydro,California,Fresno,6019
Hadley Falls,42.2119,-72.6036,Hydro,Massachusetts,Hampden,25013
Haiwee,36.1097,-117.9567,Hydro,California,Kern,6029
Halifax,36.7817,-78.9236,Hydro,Virginia,Halifax,51083
Halsey,38.957,-121.0419,Hydro,California,Placer,6061
Hamilton Branch,40.2687,-121.0895,Hydro,California,Lassen,6035
Hamilton Hydro,39.4128,-84.5558,Hydro,Ohio,Butler,39017
Hardy,43.4866,-85.6299,Hydro,Michigan,Newaygo,26123
Harriman,42.7936,-72.9144,Hydro,Massachusetts,Franklin,25011
Harris Dam,33.2583,-85.616,Hydro,Alabama,Randolph,1111
Harris Energy Realty,42.2052,-72.5929,Hydro,Massachusetts,Hampden,25013
Harris Hydro,45.4592,-69.8658,Hydro,Maine,Piscataquis,23021
Harry Truman,38.2623,-93.4062,Hydro,Missouri,Benton,29015
Hartwell Lake,34.3564,-82.8219,Hydro,Georgia,Hart,13147
Hastings City Hydroelectric,44.7602,-92.8677,Hydro,Minnesota,Dakota,27037
Hat Creek 1,40.9293,-121.5445,Hydro,California,Shasta,6089
Hat Creek 2,40.9607,-121.5487,Hydro,California,Shasta,6089
Hat Rapids,45.5711,-89.4806,Hydro,Wisconsin,Oneida,55085
Hatchet Creek Project,40.8741,-121.9204,Hydro,California,Shasta,6089
Hauser,46.7659,-111.8873,Hydro,Montana,Lewis and Clark,30049
Haw River Hydro,35.9483,-79.3244,Hydro,North Carolina,Alamance,37001
Hawks Nest Hydro,38.1478,-81.1753,Hydro,West Virginia,Fayette,54019
Haypress,39.5657,-120.5817,Hydro,California,Sierra,6091
Hazelton B Hydro,42.6051,-114.093,Hydro,Idaho,Twin Falls,16083
Head of U Canal Hydro Project,42.7628,-114.3958,Hydro,Idaho,Jerome,16053
Headgate Rock,34.1683,-114.2774,Hydro,Arizona,La Paz,4012
Heart Mountain,44.5138,-109.1296,Hydro,Wyoming,Park,56029
Hells Canyon,45.2439,-116.7008,Hydro,Oregon,Wallowa,41063
Helms Pumped Storage,37.0293,-118.9683,Hydro,California,Fresno,6019
Hemlock Falls,46.1311,-88.225,Hydro,Michigan,Iron,26071
Hennepin Island,44.9824,-93.2542,Hydro,Minnesota,Hennepin,27053
Herkimer,43.0336,-74.9834,Hydro,New York,Herkimer,36043
Herrings,44.0217,-75.6511,Hydro,New York,Jefferson,36045
Hickman,37.6215,-120.7462,Hydro,California,Stanislaus,6099
High Dam,43.4436,-76.4961,Hydro,New York,Oswego,36075
High Falls (WI),45.2794,-88.1997,Hydro,Wisconsin,Oconto,55083
High Falls - Croghan NY,43.9247,-75.3731,Hydro,New York,Lewis,36049
High Falls - Saranac NY,44.6389,-73.7492,Hydro,New York,Clinton,36019
High Rock Hydro,35.6008,-80.2339,Hydro,North Carolina,Davidson,37057
High Shoals Hydro (GA),33.8165,-83.5049,Hydro,Georgia,Oconee,13219
High Shoals Hydro (NC),35.3943,-81.20100000000002,Hydro,North Carolina,Gaston,37071
Highgate Falls,44.9336,-73.0511,Hydro,Vermont,Franklin,50011
Hillcrest Pump Station,39.6419,-104.9138,Hydro,Colorado,Arapahoe,8005
Hills Creek,43.7107,-122.4238,Hydro,Oregon,Lane,41039
Hillsborough Hosiery,43.1139,-71.89399999999998,Hydro,New Hampshire,Hillsborough,33011
Hiram,43.8525,-70.7969,Hydro,Maine,Oxford,23017
Hiwassee Dam,35.1509,-84.1775,Hydro,North Carolina,Cherokee,37039
Hodenpyl,44.3629,-85.82,Hydro,Michigan,Grand Traverse,26055
Hoist,46.5628,-87.5686,Hydro,Michigan,Marquette,26103
Holcomb Rock,37.5035,-79.3006,Hydro,Virginia,Bedford,51019
Holcombe,45.2236,-91.1272,Hydro,Wisconsin,Chippewa,55017
Hollidays Bridge Hydro,34.5275,-82.375,Hydro,South Carolina,Anderson,45007
Holt Dam,33.2553,-87.4495,Hydro,Alabama,Tuscaloosa,1125
Holter,46.9915,-112.0047,Hydro,Montana,Lewis and Clark,30049
Holtwood,39.8272,-76.3318,Hydro,Pennsylvania,York,42133
Hooksett,43.1017,-71.4657,Hydro,New Hampshire,Merrimack,33013
Hoover Dam (AZ),36.0155,-114.738,Hydro,Nevada,Clark,32003
Hoover Dam (NV),36.0155,-114.738,Hydro,Nevada,Clark,32003
Horse Mesa,33.5907,-111.344,Hydro,Arizona,Gila,4007
Horseshoe Bend Hydroelectric Co,43.9041,-116.2442,Hydro,Idaho,Ada,16001
Hudson Falls Hydroelectric Project,43.2958,-73.5956,Hydro,New York,Washington,36115
Humpback Creek,60.6128,-145.6794,Hydro,Alaska,Valdez-Cordova,2261
Hungry Horse,48.3415,-114.0144,Hydro,Montana,Flathead,30029
Huntington Falls,44.0703,-73.1961,Hydro,Vermont,Addison,50001
Hydraulic Race,43.1709,-78.6916,Hydro,New York,Niagara,36063
Hydro II,41.7437,-111.7832,Hydro,Utah,Cache,49005
Hydro III,41.7464,-111.746,Hydro,Utah,Cache,49005
Hydro Kennebec Project,44.563,-69.6192,Hydro,Maine,Kennebec,23011
Hydro Plant,41.9711,-85.5381,Hydro,Michigan,St Joseph,26149
Hydro Plant No 3,39.2056,-111.3344,Hydro,Utah,Emery,49015
Ice Harbor,46.2498,-118.8798,Hydro,Washington,Walla Walla,53071
Indian Orchard,42.161,-72.5076,Hydro,Massachusetts,Hampden,25013
Indian Valley Dam Hydro Project,39.0788,-122.5356,Hydro,California,Lake,6033
Inghams,43.06100000000001,-74.7643,Hydro,New York,Herkimer,36043
Inks,30.7316,-98.3854,Hydro,Texas,Llano,48299
Inskip,40.401,-121.9655,Hydro,California,Shasta,6089
International Paper Jay Hydro,44.5037,-70.221,Hydro,Maine,Franklin,23007
International Paper Livermore Hydro,44.4705,-70.1873,Hydro,Maine,Androscoggin,23001
International Paper Riley Hydro,44.5034,-70.2491,Hydro,Maine,Franklin,23007
International Paper Woronoco Mill,42.1634,-72.8275,Hydro,Massachusetts,Hampden,25013
Iowa Hydro LLC,42.07,-90.6977,Hydro,Iowa,Jackson,19097
Iron Gate,41.933,-122.4368,Hydro,California,Siskiyou,6093
Isabella Hydro Project,35.6439,-118.4822,Hydro,California,Kern,6029
Island Park,44.4183,-111.396,Hydro,Idaho,Fremont,16043
Ivy River Hydro,35.7716,-82.6183,Hydro,North Carolina,Madison,37115
J P Priest,36.1564,-86.6186,Hydro,Tennessee,Davidson,47037
J S Eastwood,37.1479,-119.2567,Hydro,California,Fresno,6019
J Strom Thurmond,33.6602,-82.1961,Hydro,Georgia,Columbia,13073
J Woodruff,30.7086,-84.8639,Hydro,Florida,Gadsden,12039
Jackman,43.1106,-71.9489,Hydro,New Hampshire,Hillsborough,33011
James B Black,40.9923,-121.9752,Hydro,California,Siskiyou,6093
James R Smith,46.5716,-87.4105,Hydro,Michigan,Marquette,26103
Jarvis (Hinckley),43.3121,-75.109,Hydro,New York,Oneida,36065
Jaybird,38.834,-120.5318,Hydro,California,El Dorado,6017
Jefferies,33.2444,-79.9909,Hydro,South Carolina,Berkeley,45015
Jeffrey,40.9594,-100.3979,Hydro,Nebraska,Dawson,31047
Jim Falls,45.051,-91.274,Hydro,Wisconsin,Chippewa,55017
Jocassee,34.9594,-82.9147,Hydro,South Carolina,Pickens,45077
John C Boyle,42.0936,-122.0703,Hydro,Oregon,Klamath,41035
John Day,45.7164,-120.6941,Hydro,Washington,Klickitat,53039
John H Kerr,36.5994,-78.3005,Hydro,Virginia,Mecklenburg,51117
Johnson 1,40.6936,-99.8178,Hydro,Nebraska,Gosper,31073
Johnson 2,40.6839,-99.7447,Hydro,Nebraska,Dawson,31047
Johnson Falls,45.2875,-88.1603,Hydro,Wisconsin,Oconto,55083
Johnsonville Dam,42.9204,-73.5089,Hydro,New York,Saratoga,36091
Jones Bluff,32.3242,-86.7843,Hydro,Alabama,Lowndes,1085
Jones Fork,38.8503,-120.3819,Hydro,California,El Dorado,6017
Jordan Dam,32.6189,-86.2548,Hydro,Alabama,Elmore,1051
Jordan Hydroelectric Project,35.6547,-79.0683,Hydro,North Carolina,Chatham,37037
Jordanelle Dam Hydroelectric Project,40.5966,-111.4236,Hydro,Utah,Summit,49043
Judge F Carr,40.6469,-122.627,Hydro,California,Shasta,6089
