State,FIPS,case_per_100k,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,incidence_rate_trend,Lower 95% CI,Upper 95% CI,county,State_Code,Cancer_Rate
North Dakota,38075,551.8,442.1,682.4,19,stable,7.5,-17.3,39.8,Renville,ND,0.0055179999999999995
Kentucky,21053,551.3,495.6,612.0,76,stable,1.1,-1.0,3.2,Clinton,KY,0.005513
Kentucky,21095,549.8,514.7,586.7,196,stable,0.4,-0.7,1.6,Harlan,KY,0.005497999999999999
Michigan,26133,549.2,512.2,588.5,177,stable,-0.7,-19.6,22.7,Osceola,MI,0.005492
Kentucky,21125,549.0,524.2,574.7,387,stable,0.4,-0.1,0.9,Laurel,KY,0.00549
Kentucky,21133,548.7,510.9,588.8,169,stable,0.1,-0.8,1.1,Letcher,KY,0.0054870000000000006
New York,36029,548.5,542.3,554.7,6416,stable,-0.4,-1.2,0.4,Erie,NY,0.005485
South Dakota,46087,548.4,470.2,636.4,39,falling,-7.4,-11.8,-2.9,McCook,SD,0.005484
Kentucky,21131,548.3,492.8,608.7,76,stable,0.9,-0.4,2.3,Leslie,KY,0.005482999999999999
Illinois,17115,547.9,530.2,566.0,786,stable,0.0,-1.8,1.9,Macon,IL,0.0054789999999999995
Illinois,17171,547.5,472.8,632.0,40,stable,-5.6,-14.2,4.0,Scott,IL,0.005475
Kentucky,21137,546.4,509.3,585.5,169,stable,0.3,-0.1,0.7,Lincoln,KY,0.005464
Kentucky,21207,546.2,503.9,591.5,132,stable,0.6,-0.7,1.8,Russell,KY,0.005462000000000001
Indiana,18109,546.1,523.2,569.7,457,stable,1.4,-2.6,5.5,Morgan,IN,0.005461000000000001
Georgia,13291,546.0,510.5,583.9,226,stable,0.4,-0.7,1.4,Union,GA,0.00546
New York,36035,546.0,521.4,571.5,396,stable,-0.2,-0.9,0.5,Fulton,NY,0.00546
Alaska,02290,545.7,460.2,642.6,32,stable,5.9,-15.2,32.3,Yukon-Koyukuk,AK,0.005457
Illinois,17021,545.6,515.1,577.6,252,stable,2.8,-4.1,10.1,Christian,IL,0.005456
West Virginia,54101,545.0,486.6,609.3,71,stable,-1.2,-17.3,18.0,Webster,WV,0.00545
Virginia,51730,544.7,512.0,579.0,221,stable,-0.7,-6.5,5.4,Petersburg City,VA,0.0054470000000000005
Kentucky,21195,544.4,520.9,568.8,428,stable,0.1,-0.3,0.5,Pike,KY,0.005444
Tennessee,47067,544.3,476.2,620.3,51,stable,-2.2,-21.2,21.4,Hancock,TN,0.005443
Missouri,29093,543.7,490.1,602.1,82,stable,-0.1,-15.0,17.4,Iron,MO,0.005437000000000001
Georgia,13177,542.6,502.8,584.7,154,stable,1.2,0.0,2.5,Lee,GA,0.005426
Kentucky,21179,542.4,513.3,572.7,275,stable,-0.4,-1.3,0.5,Nelson,KY,0.005424
South Dakota,46055,542.0,425.5,686.1,17,falling,-13.9,-23.8,-2.6,Haakon,SD,0.00542
Arkansas,05111,542.0,505.1,581.0,168,stable,2.3,-2.7,7.6,Poinsett,AR,0.00542
Iowa,19033,541.7,514.7,569.9,336,rising,0.5,0.1,0.8,Cerro Gordo,IA,0.005417000000000001
West Virginia,54005,541.3,503.7,581.2,166,stable,1.5,-3.7,7.0,Boone,WV,0.005412999999999999
Arkansas,05013,541.2,467.2,624.9,41,stable,6.0,-10.7,25.7,Calhoun,AR,0.005412
New York,36063,541.0,528.6,553.7,1534,stable,-0.1,-0.5,0.2,Niagara,NY,0.00541
Illinois,17063,540.9,512.7,570.3,287,stable,-0.3,-5.2,4.9,Grundy,IL,0.005409
Mississippi,28037,540.8,476.8,611.7,55,stable,3.6,-23.1,39.6,Franklin,MS,0.005408
Kentucky,21199,540.8,518.1,564.4,452,stable,-0.2,-0.7,0.3,Pulaski,KY,0.005408
Missouri,29083,540.8,503.6,580.4,170,stable,1.1,-6.2,9.0,Henry,MO,0.005408
Oklahoma,40075,540.1,481.4,604.6,67,stable,-4.0,-19.5,14.6,Kiowa,OK,0.005401
Kentucky,21079,540.0,496.3,586.9,119,stable,-0.5,-1.6,0.7,Garrard,KY,0.0054
Kentucky,21161,539.7,495.7,586.7,118,stable,0.0,-1.0,1.1,Mason,KY,0.005397000000000001
