name,latitude,longitude,primary_fuel,state,normalized_county,Fips
Erie Energy Center,37.5742,-95.2372,Oil,Kansas,Neosho,20133
Essex Junction 19,44.4821,-73.1164,Oil,Vermont,Chittenden,50007
Evonik Industries AG,40.3872,-86.9391,Oil,Indiana,Tippecanoe,18157
Exelon Framingham LLC,42.2672,-71.3983,Oil,Massachusetts,Middlesex,25017
Exelon Medway LLC,42.14,-71.4464,Oil,Massachusetts,Norfolk,25021
Factory,39.8259,-89.6373,Oil,Illinois,Sangamon,17167
Fairbanks,64.8542,-147.7194,Oil,Alaska,Fairbanks North Star,2090
Fairbanks Morse Engine,42.5185,-89.0287,Oil,Wisconsin,Rock,55105
Fairfax,44.5259,-94.7188,Oil,Minnesota,Renville,27129
Fairfield,38.3807,-88.366,Oil,Illinois,Wayne,17191
Fairgrounds,38.5935,-92.2206,Oil,Missouri,Cole,29051
Falls,40.1765,-74.79,Oil,Pennsylvania,Bucks,42017
Farmer City,40.2461,-88.6388,Oil,Illinois,De Witt,17039
Faulkton,45.0367,-99.1202,Oil,South Dakota,Faulk,46049
Fayette,39.1406,-92.68,Oil,Missouri,Howard,29089
Fennimore,42.9828,-90.6558,Oil,Wisconsin,Grant,55043
Fergus Control Ctr,46.2807,-96.0704,Oil,Minnesota,Otter Tail,27111
Field Street,29.0213,-80.9949,Oil,Florida,Volusia,12127
FirstEnergy Eastlake,41.6711,-81.4425,Oil,Ohio,Lake,39085
Fishers Island 1,41.2686,-72.01,Oil,Connecticut,New London,9011
Fisk Street,41.8508,-87.6533,Oil,Illinois,Cook,17031
Flora Site A,38.6693,-88.4635,Oil,Illinois,Clay,17025
Flora Site B,38.6714,-88.4894,Oil,Illinois,Clay,17025
Florence,43.7089,-73.0631,Oil,Vermont,Rutland,50021
Flos Inn Diesel,46.71,-67.9556,Oil,Maine,Aroostook,23003
Forest City Light Plant,43.2632,-93.6354,Oil,Iowa,Winnebago,19189
Fort Greely Power Plant,63.9736,-145.7166,Oil,Alaska,Southeast Fairbanks,2240
Fort Hill 1  2  3 & 4,41.4711,-72.1022,Oil,Connecticut,New London,9011
Framingham State University Plant,42.2979,-71.4361,Oil,Massachusetts,Middlesex,25017
Frank Jenkins,42.8686,-84.8956,Oil,Michigan,Ionia,26067
Franklin Drive,41.7989,-73.1163,Oil,Connecticut,Litchfield,9005
Frederic Diesel,45.6548,-92.4651,Oil,Wisconsin,Polk,55095
Freeburg,38.4256,-89.9144,Oil,Illinois,St Clair,17163
Freeport McMoRan,32.6618,-108.3628,Oil,New Mexico,Grant,35017
Freeport McMoRan Cobre Mining,32.8561,-108.0847,Oil,New Mexico,Grant,35017
French Island,43.8292,-91.2597,Oil,Wisconsin,La Crosse,55063
Front Street,42.1483,-72.5911,Oil,Massachusetts,Hampden,25013
Ft. Pierre,44.3681,-100.3808,Oil,South Dakota,Stanley,46117
Fuyao Glass Illinois Inc.,39.779,-88.9016,Oil,Illinois,Macon,17115
Galena Electric Utility,64.7442,-156.8736,Oil,Alaska,Dillingham,2070
Galion,40.7303,-82.7939,Oil,Ohio,Crawford,39033
Gallatin (MO),39.9172,-93.9539,Oil,Missouri,Daviess,29061
Garnett Municipal,38.2697,-95.2447,Oil,Kansas,Anderson,20003
Gary Court 1 & 2,41.3367,-72.02,Oil,Connecticut,New London,9011
Gaston Memorial Hospital,35.2747,-81.1383,Oil,North Carolina,Gaston,37071
Gastonia  Tulip Drive,35.2891,-81.2052,Oil,North Carolina,Gaston,37071
Gastonia Prime Power Park,35.3017,-81.2092,Oil,North Carolina,Gaston,37071
Gateway Gen,38.7253,-77.5097,Oil,Virginia,Manassas City,51683
GenConn Devon LLC,41.2108,-73.1075,Oil,Connecticut,Fairfield,9001
GenConn Middletown LLC,41.5544,-72.5767,Oil,Connecticut,Middlesex,9007
General Electric Diesel Engine Plant,41.1694,-80.1055,Oil,Pennsylvania,Mercer,42085
Genoa Diesel Generating Station,41.5092,-83.3606,Oil,Ohio,Ottawa,39123
Georgia Pacific Center,33.7575,-84.3869,Oil,Georgia,Fulton,13121
Germantown,43.1952,-88.1496,Oil,Wisconsin,Waukesha,55133
Gilliam South,41.4961,-94.3272,Oil,Iowa,Guthrie,19077
Gladstone,45.8475,-87.0036,Oil,Michigan,Delta,26041
Glencoe,44.7709,-94.1582,Oil,Minnesota,McLeod,27085
Glennallen,62.1104,-145.5325,Oil,Alaska,Valdez-Cordova,2261
Glenwood,40.8271,-73.6475,Oil,New York,Nassau,36059
Godwin Drive Plant,38.7405,-77.5081,Oil,Virginia,Manassas City,51683
Gold Creek,58.3107,-134.4174,Oil,Alaska,Juneau,2110
Good Samaritan Hospital,41.1115,-74.1354,Oil,New York,Rockland,36087
Gordon,46.2367,-91.7855,Oil,Wisconsin,Douglas,55031
Gowrie,42.2828,-94.289,Oil,Iowa,Webster,19187
Graettinger,43.2397,-94.7498,Oil,Iowa,Palo Alto,19147
Grafton,48.43,-97.4033,Oil,North Dakota,Walsh,38099
Grand Junction,42.0296,-94.3699,Oil,Iowa,Greene,19073
Grand Marais,47.7503,-90.3572,Oil,Minnesota,Cook,27031
Granite Falls 2,44.8047,-95.557,Oil,Minnesota,Yellow Medicine,27173
Granite Falls Walmart,35.7811,-81.3928,Oil,North Carolina,Caldwell,37027
Grantsburg Diesel,45.7792,-92.678,Oil,Wisconsin,Burnett,55013
Greenfield,41.3039,-94.4606,Oil,Iowa,Adair,19001
Greenport,41.1055,-72.3758,Oil,New York,Suffolk,36103
Grundy Center City Light Plant,42.3631,-92.7723,Oil,Iowa,Grundy,19075
Gwitchyaa Zhee,66.5663,-145.2531,Oil,Alaska,Fairbanks North Star,2090
Haines,59.2359,-135.4462,Oil,Alaska,Haines,2100
Halstad,47.3501,-96.8319,Oil,North Dakota,Traill,38097
