site_name,city,site_id,list_date,site_score,indicator
MIDCO II,Gary,IND980679559,06/10/1986,30.16,No
Neal's Landfill (Bloomington),Bloomington,IND980614556,09/08/1983,42.93,No
Ninth Avenue Dump,Gary,IND980794432,09/08/1983,40.32,No
North Shore Drive,Elkhart,INSFN0507828,09/22/2014,50.00,No
"Northside Sanitary Landfill, Inc.",Zionsville,IND050530872,09/21/1984,46.04,No
Pike and Mulberry Streets PCE Plume,Martinsville,INN000508678,05/24/2013,50.00,No
Prestolite Battery Division,Vincennes,IND006377048,10/04/1989,40.63,No
Reilly Tar & Chemical Corp. (Indianapolis Plant),Indianapolis,IND000807107,09/21/1984,34.03,No
Seymour Recycling Corp.,Seymour,IND040313017,09/08/1983,,No
"Tippecanoe Sanitary Landfill, Inc",Lafayette,IND980997639,08/30/1990,42.24,No
"U.S. Smelter and Lead Refinery, Inc.",East Chicago,IND047030226,04/09/2009,58.31,No
Wayne Waste Oil,Columbia City,IND048989479,09/08/1983,42.33,No
Des Moines TCE,Des Moines,IAD980687933,09/08/1983,42.28,No
Fairfield Coal Gasification Plant,Fairfield,IAD981124167,08/30/1990,38.05,No
Iowa Army Ammunition Plant,Middletown,IA7213820445,08/30/1990,29.73,Yes
Lawrence Todtz Farm,Camanche,IAD000606038,06/10/1986,52.11,No
Mason City Coal Gasification Plant,Mason City,IAD980969190,12/16/1994,69.33,No
Midwest Manufacturing/North Farm,Kellogg,IAD069625655,06/10/1986,32.04,No
PCE Former Dry Cleaner,Atlantic,IAD039954300,04/07/2016,50.00,No
Peoples Natural Gas Co.,Dubuque,IAD980852578,08/30/1990,46.24,No
Railroad Avenue Groundwater Contamination,Des Moines,IA0001610963,09/05/2002,50.00,No
Shaw Avenue Dump,Charles City,IAD980630560,07/22/1987,30.01,No
Vogel Paint & Wax Co.,Orange City,IAD980630487,06/10/1986,31.45,No
57th and North Broadway Streets Site,Wichita Heights,KSD981710247,10/14/1992,50.00,No
Ace Services,Colby,KSD046746731,09/29/1995,50.00,No
"Chemical Commodities, Inc.",Olathe,KSD031349624,05/31/1994,50.00,No
Cherokee County,Cherokee County,KSD980741862,09/08/1983,58.15,No
Doepke Disposal (Holliday),Johnson County,KSD980632301,09/08/1983,47.46,No
Former United Zinc & Associated Smelters,Iola,KSN000705026,05/24/2013,50.00,No
Fort Riley,Junction City,KS6214020756,08/30/1990,33.79,Yes
Obee Road,Hutchinson,KSD980631766,07/22/1987,33.62,No
Pester Refinery Co.,El Dorado,KSD000829846,03/31/1989,30.16,No
"Plating, Inc.",Great Bend,KSD065735912,03/19/2008,50.00,No
Strother Field Industrial Park,Cowley County,KSD980862726,06/10/1986,33.62,No
Wright Ground Water Contamination,Wright,KSD984985929,06/17/1996,50.00,No
Airco,Calvert City,KYD041981010,09/21/1984,33.29,No
B.F. Goodrich,Calvert City,KYD006370167,09/08/1983,33.01,No
Brantley Landfill,Island,KYD980501019,02/21/1990,52.73,No
"Caldwell Lace Leather Co., Inc.",Auburn,KYD045738291,08/30/1990,34.21,No
Distler Brickyard,West Point,KYD980602155,09/08/1983,44.77,No
Distler Farm,Jefferson County,KYD980601975,09/08/1983,34.62,No
Fort Hartford Coal Co. Stone Quarry,Olaton,KYD980844625,08/30/1990,43.84,No
"Green River Disposal, Inc.",Maceo,KYD980501076,08/30/1990,29.12,No
Maxey Flats Nuclear Disposal,Hillsboro,KYD980729107,06/10/1986,31.71,No
National Electric Coil Co./Cooper Industries,Dayhoit,KYD985069954,10/14/1992,50.00,No
Paducah Gaseous Diffusion Plant (USDOE),Paducah,KY8890008982,05/31/1994,56.95,Yes
Smith's Farm,Brooks,KYD097267413,06/10/1986,32.69,No
Tri-City Disposal Co.,Shepherdsville,KYD981028350,03/31/1989,33.82,No
Agriculture Street Landfill,New Orleans,LAD981056997,12/16/1994,50.00,No
American Creosote DeRidder,DeRidder,LAN000604293,01/18/2018,50.00,No
"American Creosote Works, Inc. (Winnfield Plant)",Winnfield,LAD000239814,10/14/1992,50.70,No
Bayou Bonfouca,Slidell,LAD980745632,09/08/1983,29.78,No
Colonial Creosote,Bogalusa,LAN000607134,09/30/2015,50.00,No
"Combustion, Inc.",Denham Springs,LAD072606627,08/30/1990,33.79,No
Delta Shipyard,Houma,LAD058475419,09/22/2014,48.05,No
EVR-Wood Treating/Evangeline Refining Company,Jennings,LAN000605517,09/18/2012,48.20,No
Louisiana Army Ammunition Plant,Doyline,LA0213820533,03/13/1989,30.26,Yes
Madisonville Creosote Works,Madisonville,LAD981522998,12/23/1996,48.01,No
Marion Pressure Treating,Marion,LAD008473142,02/04/2000,50.00,No
"Petro-Processors of Louisiana, Inc.",Scotlandville,LAD057482713,09/21/1984,41.44,No
SBA Shipyard,Jennings,LAD008434185,09/09/2016,50.00,No
Brunswick Naval Air Station,Brunswick,ME8170022018,07/22/1987,43.38,Yes
Callahan Mine,Brooksville,MED980524128,09/05/2002,50.00,No
Eastern Surplus,Meddybemps,MED981073711,06/17/1996,50.00,No
Eastland Woolen Mill,Corinna,MED980915474,07/22/1999,70.71,No
Keddy Mill,Windham,MEN000106078,05/12/2014,50.00,No
Leeds Metal,Leeds,MEN000103584,09/18/2012,32.25,No
Loring Air Force Base,Limestone,ME9570024522,02/21/1990,34.49,Yes
McKin Co.,Gray,MED980524078,09/08/1983,60.97,No
Portsmouth Naval Shipyard,Kittery,ME7170022019,05/31/1994,50.00,Yes
Saco Municipal Landfill,Saco,MED980504393,02/21/1990,29.49,No
West Site/Hows Corners,Plymouth,MED985466168,09/29/1995,50.00,No
Winthrop Landfill,Winthrop,MED980504435,09/08/1983,35.62,No
Aberdeen Proving Ground (Edgewood Area),Edgewood,MD2210020036,02/21/1990,53.57,Yes
Aberdeen Proving Ground (Michaelsville Landfill),Aberdeen,MD3210021355,10/04/1989,31.09,Yes
Andrews Air Force Base,Camp Springs,MD0570024000,05/10/1999,50.00,Yes
Beltsville Agricultural Research Center (USDA),Beltsville,MD0120508940,05/31/1994,50.00,Yes
Brandywine DRMO,Brandywine,MD9570024803,05/10/1999,50.15,Yes
Bush Valley Landfill,Abingdon,MDD980504195,03/31/1989,40.30,No
Central Chemical (Hagerstown),Hagerstown,MDD003061447,09/25/1997,50.00,No
Curtis Bay Coast Guard Yard,Anne Arundel County,MD4690307844,09/05/2002,50.00,Yes
Dwyer Property Ground Water Plume,Elkton,MDD985366756,03/10/2011,50.00,No
Fort Detrick Area B Ground Water,Fort Detrick,MDD985397249,04/09/2009,49.52,Yes
Fort George G. Meade,Odenton,MD9210020567,07/28/1998,51.44,Yes
Indian Head Naval Surface Warfare Center,Indian Head,MD7170024684,09/29/1995,50.00,Yes
Kane & Lombard Street Drums,Baltimore,MDD980923783,06/10/1986,30.15,No
Limestone Road,Cumberland,MDD980691588,09/08/1983,30.54,No
"Ordnance Products, Inc.",Cecil County,MDD982364341,09/25/1997,32.15,No
Patuxent River Naval Air Station,St. Mary's County,MD7170024536,05/31/1994,50.00,Yes
"Sand, Gravel and Stone",Elkton,MDD980705164,09/08/1983,41.08,No
Sauer Dump,Dundalk,MDD981038334,03/15/2012,50.00,No
"Spectron, Inc.",Elkton,MDD000218008,05/31/1994,51.42,No
Woodlawn County Landfill,Woodlawn,MDD980504344,07/22/1987,48.13,No
Atlas Tack Corp.,Fairhaven,MAD001026319,02/21/1990,42.60,No
Baird & McGuire,Holbrook,MAD001041987,09/08/1983,66.35,No
BJAT LLC,Franklin,MAN000106144,09/30/2015,41.91,No
Blackburn and Union Privileges,Walpole,MAD982191363,05/31/1994,50.00,No
Charles-George Reclamation Trust Landfill,Tyngsborough,MAD003809266,09/08/1983,47.20,No
Creese & Cook Tannery (Former),Danvers,MAD001031574,05/24/2013,60.57,No
Fort Devens,Fort Devens,MA7210025154,11/21/1989,42.24,Yes
Groveland Wells,Groveland,MAD980732317,09/08/1983,40.74,No
Hanscom Field/Hanscom Air Force Base,Bedford,MA8570024424,05/31/1994,50.00,Yes
Haverhill Municipal Landfill,Haverhill,MAD980523336,06/10/1986,30.29,No
Hocomonco Pond,Westborough,MAD980732341,09/08/1983,44.80,No
Industri-Plex,Woburn,MAD076580950,09/08/1983,72.42,No
Iron Horse Park,Billerica,MAD051787323,09/21/1984,42.93,No
"Microfab, Inc. (Former)",Amesbury,MAD001409408,08/03/2017,50.00,No
"Natick Laboratory Army Research, Development, and Engineering Center",Natick,MA1210020631,05/31/1994,50.00,Yes
Naval Weapons Industrial Reserve Plant,Bedford,MA6170023570,05/31/1994,50.00,Yes
New Bedford Site,New Bedford,MAD980731335,09/08/1983,,No
"Nuclear Metals, Inc.",Concord,MAD062166335,06/14/2001,58.31,No
Nyanza Chemical Waste Dump,Ashland,MAD990685422,09/08/1983,69.22,No
Olin Chemical,Wilmington,MAD001403104,04/19/2006,50.00,No
Otis Air National Guard Base/Camp Edwards,Falmouth,MA2570024487,11/21/1989,45.92,Yes
PSC Resources,Palmer,MAD980731483,09/08/1983,38.66,No
"Re-Solve, Inc.",Dartmouth,MAD980520621,09/08/1983,47.71,No
Rose Disposal Pit,Lanesboro,MAD980524169,06/10/1986,33.03,No
Silresim Chemical Corp.,Lowell,MAD000192393,09/08/1983,42.72,No
South Weymouth Naval Air Station,Weymouth,MA2170022022,05/31/1994,50.00,Yes
Sullivan's Ledge,New Bedford,MAD980731343,09/21/1984,32.77,No
Sutton Brook Disposal Area,Tewksbury,MAD980520696,06/14/2001,57.12,No
"W.R. Grace & Co., Inc. (Acton Plant)",Acton,MAD001002252,09/08/1983,59.31,No
Walton & Lonsbury Inc.,Attleboro,MAD001197755,05/24/2013,58.30,No
Wells G&H,Woburn,MAD980732168,09/08/1983,42.71,No
Adam's Plating,Lansing,MID006522791,03/31/1989,29.64,No
Aircraft Components (D & L Sales),Benton Harbor,MI0001119106,06/17/1996,,No
Albion-Sheridan Township Landfill,Albion,MID980504450,10/04/1989,33.79,No
"Allied Paper, Inc./Portage Creek/Kalamazoo River",Kalamazoo,MID006007306,08/30/1990,36.41,No
"American Anodco, Inc.",Ionia,MID006029102,03/31/1989,57.99,No
"Auto Ion Chemicals, Inc.",Kalamazoo,MID980794382,09/08/1983,32.07,No
"Barrels, Inc.",Lansing,MID017188673,10/04/1989,42.24,No
Bendix Corp./Allied Automotive,St. Joseph,MID005107222,02/21/1990,37.27,No
